mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
12	11	131/4	131/4	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	73											
12	11	121/4	121/4	2.0	0	0	Chord	3/4	3	1	1/2		1/2	1	74											
12	11	129/4	129/4	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	75									13		
12	11	131/4	131/4	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	76											
12	11	121/4	121/4	3.0	0	0	Chord	3/4	3	2	3/4		1/2	3/2	77											
13	12	133/4	133/4	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	78	Greis										
13	12	34	34	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	79	zu										
13	12	137/4	137/4	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	80	sein										
13	12	143/4	143/4	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	81	und										
13	12	133/4	133/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	82									14		
13	12	137/4	137/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	83											
13	12	143/4	143/4	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	84									15		
13	12	133/4	133/4	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	85											
13	12	133/4	133/4	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	86									16		
13	12	137/4	137/4	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	87											
13	12	143/4	143/4	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	88									17		
13	12	133/4	133/4	2.0	0	0	Chord	3/4	3	2	1/2		1/2	1	89											
13	12	143/4	143/4	0.5	5/8	5/8	Chord	3/4	3	2	1/8		1/8	1	90									18		
14	13	145/4	145/4	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	91	hab'								19		
14	13	149/4	149/4	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	92											
14	13	451/12	451/12	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	93											
14	13	455/12	455/12	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	94	mich										
14	13	153/4	153/4	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	95	sehr										
14	13	463/12	463/12	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	96											
14	13	467/12	467/12	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	97	ge-										
14	13	145/4	145/4	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	98											
14	13	153/4	153/4	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	99											
14	13	145/4	145/4	2.0	0	0	Chord	3/4	3	1	1/2		1/2	1	100											
14	13	153/4	153/4	0.3333333333333333	1/2	1/2	Chord	3/4	3	1	1/12		1/8	2/3	101									20		
14	13	463/12	463/12	0.3333333333333333	7/12	7/12	Chord	3/4	3	1	1/12		1/8	2/3	102									20		
14	13	467/12	467/12	0.3333333333333333	2/3	2/3	Chord	3/4	3	1	1/12		1/8	2/3	103											
14	13	145/4	145/4	2.0	0	0	Chord	3/4	3	2	1/2		1/2	1	104											
14	13	153/4	153/4	1.0	1/2	1/2	Chord	3/4	3	2	1/4		1/4	1	105											
15	14	157/4	157/4	0.0	0	0	Chord	3/4	1	1	0	appoggiatura	1/8	1	106											
15	14	157/4	157/4	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	107	-freu-										
15	14	161/4	161/4	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	108	-et										
15	14	157/4	157/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	109									21		
