mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
7	7	18	18	1.0	0	0	Chord	3/4	3	2	1/4		1/4	1	34									5		
7	7	19	19	2.0	1/4	1/4	Chord	3/4	3	2	1/2		1/2	1	35											
8	8	21	21	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	36			articAccentBelow						6		
8	8	43/2	43/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	37											
8	8	22	22	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	38											
8	8	21	21	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	39											
8	8	21	21	1.0	0	0	Chord	3/4	3	2	1/4		1/4	1	40									7		
8	8	22	22	2.0	1/4	1/4	Chord	3/4	3	2	1/2		1/2	1	41											
9	9	24	24	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	42	Drü-										
9	9	49/2	49/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	43	-ben										
9	9	25	25	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	44	hin										
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	45	term										
9	9	26	26	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	46	Dor-										
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	47	fe										
9	9	24	24	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	48											
10	10	27	27	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	49	steht										
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	50	ein										
10	10	28	28	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	51	Lei-										
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	52	-er										
10	10	29	29	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	53	mann,										
10	10	27	27	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	54											
11	11	30	30	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	55									8		
11	11	121/4	121/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	56									8		
11	11	61/2	61/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	57									8		
11	11	123/4	123/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	58									8		
11	11	31	31	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	59									8		
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	60									8		
11	11	32	32	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	61									8		
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	62											
11	11	30	30	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	63											
12	12	33	33	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	64			articAccentAbove						9		
12	12	67/2	67/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	65											
12	12	34	34	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	66			articAccentBelow						10		
12	12	33	33	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	67											
13	13	36	36	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	68	Und										
13	13	73/2	73/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	69	mit										
13	13	37	37	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	70	star-										
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	71	-ren										
13	13	38	38	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	72	Fin-										
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	73	-gern										
13	13	36	36	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	74											
13	13	36	36	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	75											
14	14	39	39	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	76	dreht										
14	14	79/2	79/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	77	er										
14	14	40	40	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	78	was										
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	79	er										
14	14	41	41	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	80	kann.										
14	14	39	39	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	81											
15	15	42	42	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	82									11		
15	15	169/4	169/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	83									11		
15	15	85/2	85/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	84									11		
15	15	171/4	171/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	85									11		
15	15	43	43	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	86									11		
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	87									11		
15	15	44	44	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	88									11		
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	89											
15	15	42	42	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	90											
16	16	45	45	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	91									12		
16	16	91/2	91/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	92											
16	16	46	46	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	93			articAccentAbove						13		
16	16	45	45	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	94											
17	17	48	48	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	95	Bar-										
17	17	97/2	97/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	96	-fuss										
17	17	49	49	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	97	auf										
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	98	dem										
17	17	50	50	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	99	Ei-										
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	100	-se										
17	17	48	48	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	101											
17	17	48	48	2.0	0	0	Chord	3/4	3	1	1/2		1/2	1	102											
17	17	50	50	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	103											
17	17	48	48	3.0	0	0	Chord	3/4	3	2	3/4		1/2	3/2	104											
18	18	51	51	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	105	wankt										
18	18	207/4	207/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	106	er										
18	18	52	52	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	107	hin										
18	18	105/2	105/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	108	und										
18	18	53	53	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	109	her										
18	18	51	51	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	110									14		
18	18	52	52	2.0	1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	111											
18	18	51	51	3.0	0	0	Chord	3/4	3	2	3/4		1/2	3/2	112											
19	19	54	54	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	113									15		
19	19	217/4	217/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	114									15		
19	19	109/2	109/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	115									15		
19	19	219/4	219/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	116									15		
19	19	55	55	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	117									15		
19	19	111/2	111/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	118									15		
19	19	56	56	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	119									15		
19	19	113/2	113/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	120											
19	19	54	54	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	121											
20	20	57	57	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	122			articAccentBelow						16		
20	20	115/2	115/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	123											
20	20	58	58	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	124											
20	20	57	57	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	125									17		
20	20	58	58	2.0	1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	126											
20	20	57	57	3.0	0	0	Chord	3/4	3	2	3/4		1/2	3/2	127											
21	21	60	60	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	128	Und										
21	21	121/2	121/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	129	sein										
21	21	61	61	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	130	klei-										
21	21	123/2	123/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	131	-ner										
21	21	62	62	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	132	Tel-										
21	21	125/2	125/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	133	-ler										
21	21	60	60	2.0	0	0	Chord	3/4	3	1	1/2		1/2	1	134									18		
21	21	62	62	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	135											
21	21	60	60	3.0	0	0	Chord	3/4	3	2	3/4		1/2	3/2	136											
22	22	63	63	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	137	bleibt										
22	22	255/4	255/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	138	ihm										
22	22	64	64	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	139	im-										
22	22	129/2	129/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	140	-mer										
22	22	65	65	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	141	leer										
22	22	63	63	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	142									19		
22	22	64	64	2.0	1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	143											
22	22	63	63	3.0	0	0	Chord	3/4	3	2	3/4		1/2	3/2	144											
23	23	66	66	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	145									20		
23	23	265/4	265/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	146									20		
23	23	133/2	133/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	147									20		
23	23	267/4	267/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	148									20		
23	23	67	67	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	149									20		
23	23	135/2	135/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	150									20		
23	23	68	68	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	151									20		
23	23	137/2	137/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	152											
23	23	66	66	1.5	0	0	Chord	3/4	3	1	3/8		1/4	3/2	153									21		
23	23	135/2	135/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	154									21		
23	23	68	68	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	155									21		
23	23	137/2	137/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	156											
23	23	66	66	3.0	0	0	Chord	3/4	3	2	3/4		1/2	3/2	157											
24	24	69	69	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	158			articAccentBelow						22		
24	24	139/2	139/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	159											
24	24	70	70	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	160											
24	24	69	69	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	161									23		
24	24	70	70	2.0	1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	162											
24	24	69	69	3.0	0	0	Chord	3/4	3	2	3/4		1/2	3/2	163											
25	25	72	72	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	164	Und										
25	25	145/2	145/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	165	sein										
25	25	73	73	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	166	klei-										
25	25	147/2	147/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	167	-ner										
25	25	74	74	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	168	Tel-										
25	25	299/4	299/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	169	-ler										
25	25	72	72	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	170											
26	26	75	75	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	171	bleibt										
26	26	151/2	151/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	172	ihm										
26	26	76	76	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	173	im-										
26	26	153/2	153/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	174	-mer										
26	26	77	77	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	175	leer										
26	26	75	75	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	176											
27	27	78	78	0.0	0	0	Spanner	3/4	2	1	0														0	
27	27	78	78	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	177									24	0	
27	27	313/4	313/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	178									24	0	
27	27	157/2	157/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	179									24	0	
27	27	315/4	315/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	180									24	0	
27	27	79	79	0.0	1/4	1/4	Spanner	3/4	2	1	0													24	0	0
27	27	79	79	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	181									24	0	0
27	27	159/2	159/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	182									24	0	0
27	27	80	80	0.75	1/2	1/2	Chord	3/4	2	1	3/16		1/8	3/2	183									24	0	0
27	27	323/4	323/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	184										0	0
27	27	78	78	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	185											
28	28	81	81	0.0	0	0	Spanner	3/4	2	1	0															
28	28	81	81	0.0	0	0	Spanner	3/4	2	1	0															
28	28	81	81	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	186											
28	28	327/4	327/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	187											
28	28	82	82	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	188											
28	28	165/2	165/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	189											
28	28	83	83	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	190											
28	28	81	81	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	191											
29	29	84	84	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	192			articAccentBelow						25		
29	29	169/2	169/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	193											
29	29	85	85	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	194											
29	29	84	84	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	195									26		
29	29	85	85	2.0	1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	196											
29	29	84	84	3.0	0	0	Chord	3/4	3	2	3/4		1/2	3/2	197											
30	30	87	87	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	198			articAccentBelow						27		
30	30	175/2	175/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	199											
30	30	88	88	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	200											
30	30	87	87	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	201									28		
30	30	88	88	2.0	1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	202											
30	30	87	87	3.0	0	0	Chord	3/4	3	2	3/4		1/2	3/2	203											
31	31	90	90	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	204	Kei-										
31	31	181/2	181/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	205	-ner										
31	31	91	91	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	206	mag										
31	31	183/2	183/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	207	ihn										
31	31	92	92	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	208	hö-										
31	31	185/2	185/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	209	-ren										
31	31	90	90	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	210											
32	32	93	93	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	211	kei-										
32	32	187/2	187/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	212	-ner										
32	32	94	94	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	213	sieht										
32	32	189/2	189/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	214	ihn										
32	32	95	95	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	215	an,										
32	32	93	93	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	216											
33	33	96	96	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	217									29		
33	33	385/4	385/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	218											
33	33	193/2	193/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	219											
33	33	387/4	387/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	220											
33	33	97	97	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	221											
33	33	195/2	195/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	222											
33	33	98	98	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	223											
33	33	197/2	197/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	224											
33	33	96	96	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	225											
34	34	99	99	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	226									30		
34	34	199/2	199/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	227											
34	34	100	100	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	228			articAccentAbove								
34	34	99	99	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	229											
35	35	102	102	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	230	Und										
35	35	205/2	205/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	231	die										
35	35	103	103	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	232	Hun-										
35	35	207/2	207/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	233	-de										
35	35	104	104	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	234	knur-										
35	35	209/2	209/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	235	-ren										
35	35	102	102	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	236											
35	35	102	102	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	237											
36	36	105	105	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	238	um										
36	36	211/2	211/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	239	den										
36	36	106	106	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	240	al-										
36	36	213/2	213/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	241	-ten										
36	36	107	107	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	242	Mann.										
36	36	105	105	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	243											
37	37	108	108	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	244									31		
37	37	433/4	433/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	245											
37	37	217/2	217/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	246											
37	37	435/4	435/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	247											
37	37	109	109	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	248											
37	37	219/2	219/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	249											
37	37	110	110	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	250											
37	37	221/2	221/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	251											
37	37	108	108	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	252											
38	38	111	111	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	253									32		
38	38	223/2	223/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	254											
38	38	112	112	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	255			articAccentAbove								
38	38	111	111	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	256											
39	39	114	114	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	257	Und										
39	39	229/2	229/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	258	er										
39	39	115	115	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	259	lässt										
39	39	231/2	231/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	260	es										
39	39	116	116	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	261	ge-										
39	39	233/2	233/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	262	-hen-										
39	39	114	114	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	263											
39	39	114	114	2.0	0	0	Chord	3/4	3	1	1/2		1/2	1	264									33		
39	39	116	116	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	265											
39	39	114	114	3.0	0	0	Chord	3/4	3	2	3/4		1/2	3/2	266											
40	40	117	117	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	267	-al-										
40	40	471/4	471/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	268	-les										
40	40	118	118	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	269	wie										
40	40	237/2	237/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	270	es										
40	40	119	119	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	271	will										
40	40	117	117	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	272									34		
40	40	118	118	2.0	1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	273											
40	40	117	117	3.0	0	0	Chord	3/4	3	2	3/4		1/2	3/2	274											
41	41	120	120	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	275									35		
41	41	481/4	481/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	276									35		
41	41	241/2	241/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	277									35		
41	41	483/4	483/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	278									35		
41	41	121	121	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	279									35		
41	41	243/2	243/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	280									35		
41	41	122	122	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	281									35		
