mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	diminuendo_line	crescendo_hairpin	crescendo_line
14	14	27	27	1.0	1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	95														
14	14	26	26	2.0	0	0	Chord	2/4	3	1	1/2			1/2	1	96														
15	15	28	28	0.75	0	0	Chord	2/4	1	1	3/16			1/8	3/2	97	zieh													
15	15	115/4	115/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	98	ich													
15	15	29	29	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	99	mei									30				
15	15	117/4	117/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	100	-													
15	15	59/2	59/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	101	ne									31				
15	15	119/4	119/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	102														
15	15	29	29	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	103			articAccentBelow											
15	15	59/2	59/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	104														
15	15	28	28	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	105			articAccentBelow											
15	15	57/2	57/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8			1/8	1	106														
16	16	30	30	0.75	0	0	Chord	2/4	1	1	3/16			1/8	3/2	107	Stra									32				
16	16	123/4	123/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	108	-													
16	16	31	31	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	109	sse													
16	16	63/2	63/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	110	da									33				
16	16	127/4	127/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	111	-													
16	16	31	31	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	112			articAccentBelow											
16	16	63/2	63/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	113														
16	16	30	30	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	114			articAccentAbove											
16	16	61/2	61/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8			1/8	1	115														
17	17	32	32	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	116	hin													
17	17	65/2	65/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	117	mit									34				
17	17	131/4	131/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	118														
17	17	33	33	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	119	trä-													
17	17	67/2	67/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	120	gem													
17	17	65/2	65/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	121										35				
17	17	33	33	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	122										35				
17	17	67/2	67/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	123														
17	17	32	32	1.0	0	0	Chord	2/4	3	1	1/4			1/4	1	124										36				
17	17	33	33	0.5	1/4	1/4	Chord	2/4	3	1	1/8			1/8	1	125										36				
17	17	67/2	67/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8			1/8	1	126														
18	18	34	34	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	127	Fuss,													
18	18	71/2	71/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	128	durch									37				
18	18	143/4	143/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	129														
18	18	69/2	69/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	130										38				
18	18	35	35	1.0	1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	131														
18	18	34	34	1.0	0	0	Chord	2/4	3	1	1/4			1/4	1	132										39				
18	18	35	35	1.0	1/4	1/4	Chord	2/4	3	1	1/4			1/4	1	133														
19	19	36	36	0.75	0	0	Chord	2/4	1	1	3/16			1/8	3/2	134	hell-													
19	19	147/4	147/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	135	les,													
19	19	37	37	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	136	fro									40				
19	19	149/4	149/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	137	-													
19	19	75/2	75/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	138	hes									41				
19	19	151/4	151/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	139														
19	19	37	37	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	140			articAccentBelow											
19	19	75/2	75/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	141														
19	19	36	36	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	142			articAccentBelow											
19	19	73/2	73/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8			1/8	1	143														
20	20	38	38	0.75	0	0	Chord	2/4	1	1	3/16			1/8	3/2	144	Le									42				
20	20	155/4	155/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	145	-													
20	20	39	39	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	146	ben													
20	20	79/2	79/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	147	ein									43				
20	20	159/4	159/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	148	-													
20	20	39	39	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	149			articAccentBelow											
20	20	79/2	79/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	150														
20	20	38	38	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	151			articAccentAbove											
20	20	77/2	77/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8			1/8	1	152														
21	21	40	40	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	153	sam													
21	21	81/2	81/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	154	und									44				
21	21	163/4	163/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	155														
21	21	41	41	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	156	oh-													
21	21	83/2	83/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	157	ne													
21	21	81/2	81/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	158										45				
21	21	41	41	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	159										45				
21	21	83/2	83/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	160										45				
21	21	40	40	1.0	0	0	Chord	2/4	3	1	1/4			1/4	1	161										46				
21	21	41	41	0.5	1/4	1/4	Chord	2/4	3	1	1/8			1/8	1	162										46				
21	21	83/2	83/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8			1/8	1	163										46				
22	22	42	42	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	164	Gruss.													
22	22	42	42	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	165														
22	22	85/2	85/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	166										47				
22	22	43	43	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	167										47				
22	22	87/2	87/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	168										47				
22	22	42	42	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	169														
22	22	85/2	85/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8			1/8	1	170										48				
22	22	43	43	0.5	1/4	1/4	Chord	2/4	3	1	1/8			1/8	1	171										48				
22	22	87/2	87/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8			1/8	1	172										48				
23	23	91/2	91/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	173	Ach,													
23	23	44	44	0.0	0	0	Spanner	2/4	2	1	0															47				0
23	23	44	44	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	174										47				0
23	23	89/2	89/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	175										47				0
23	23	45	45	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	176										47				0
23	23	91/2	91/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	177														0
23	23	44	44	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	178										48				
23	23	89/2	89/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8			1/8	1	179										48				
23	23	45	45	0.5	1/4	1/4	Chord	2/4	3	1	1/8			1/8	1	180										48				
23	23	91/2	91/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8			1/8	1	181														
24	24	46	46	0.75	0	0	Chord	2/4	1	1	3/16			1/8	3/2	182	dass													
24	24	187/4	187/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	183	die													
24	24	47	47	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	184	Luft													
24	24	95/2	95/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	185	so		articAccentAbove							49				
24	24	191/4	191/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	186														
24	24	46	46	0.0	0	0	StaffText	2/4	2	1	0									trem										
24	24	46	46	0.0	0	0	Spanner	2/4	2	1	0																		0	
24	24	46	46	0.0	0	0	Spanner	2/4	2	1	0																		0	
24	24	46	46	2.0	0	0	Chord	2/4	2	1	1/2		c32	1/2	1	187													0	
24	24	47	47	0.0	1/4	1/4	Spanner	2/4	2	1	0																			
24	24	47	47	0.0	1/4	1/4	Spanner	2/4	2	1	0																0			
24	24	46	46	2.0	0	0	Chord	2/4	2	1	1/2			1/2	1	188											0			
24	24	46	46	0.0	0	0	Dynamic	2/4	3	1	0							f												
24	24	46	46	2.0	0	0	Chord	2/4	3	1	1/2		c32	1/2	1	189														
24	24	46	46	2.0	0	0	Chord	2/4	3	1	1/2			1/2	1	190														
25	25	48	48	0.0	0	0	Chord	2/4	1	1	0	appoggiatura		1/8	1	191														
25	25	48	48	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	192	ru-													
25	25	97/2	97/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	193	-hig!													
25	25	99/2	99/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	194	ach,													
25	25	48	48	0.0	0	0	Dynamic	2/4	2	1	0							p												
25	25	48	48	0.0	0	0	Spanner	2/4	2	1	0																			
25	25	48	48	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	195														
25	25	49	49	0.0	1/4	1/4	Dynamic	2/4	2	1	0							fp												
25	25	49	49	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	196										50				
25	25	99/2	99/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	197														
25	25	48	48	1.0	0	0	Chord	2/4	3	1	1/4			1/4	1	198														
25	25	49	49	0.5	1/4	1/4	Chord	2/4	3	1	1/8			1/8	1	199			articAccentAbove							51				
25	25	99/2	99/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16			1/16	1	200														
26	26	50	50	0.75	0	0	Chord	2/4	1	1	3/16			1/8	3/2	201	dass													
26	26	203/4	203/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	202	die													
26	26	51	51	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	203	Welt													
26	26	103/2	103/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	204	so		articAccentAbove							52				
26	26	207/4	207/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	205														
26	26	50	50	0.0	0	0	Spanner	2/4	2	1	0																		1	
26	26	50	50	2.0	0	0	Chord	2/4	2	1	1/2		c32	1/2	1	206													1	
26	26	51	51	0.0	1/4	1/4	Spanner	2/4	2	1	0																			
26	26	51	51	0.0	1/4	1/4	Spanner	2/4	2	1	0																1			
26	26	50	50	2.0	0	0	Chord	2/4	2	1	1/2			1/2	1	207											1			
26	26	50	50	0.0	0	0	StaffText	2/4	3	1	0									trem										
26	26	50	50	0.0	0	0	Dynamic	2/4	3	1	0							f												
26	26	50	50	2.0	0	0	Chord	2/4	3	1	1/2		c32	1/2	1	208														
26	26	50	50	2.0	0	0	Chord	2/4	3	1	1/2			1/2	1	209														
27	27	52	52	0.0	0	0	Chord	2/4	1	1	0	appoggiatura		1/8	1	210														
27	27	52	52	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	211	licht!													
27	27	52	52	0.0	0	0	Spanner	2/4	2	1	0																			
27	27	52	52	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	212														
27	27	53	53	0.0	1/4	1/4	Spanner	2/4	2	1	0																2			
27	27	53	53	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	213										53	2			
27	27	107/2	107/2	0.0	3/8	3/8	Spanner	2/4	2	1	0																			
27	27	107/2	107/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	214														
27	27	52	52	0.0	0	0	Dynamic	2/4	3	1	0							p												
27	27	52	52	1.0	0	0	Chord	2/4	3	1	1/4			1/4	1	215			articStaccatoBelow											
27	27	53	53	0.0	1/4	1/4	Dynamic	2/4	3	1	0							fp												
27	27	53	53	0.5	1/4	1/4	Chord	2/4	3	1	1/8			1/8	1	216										54				
27	27	107/2	107/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16			1/16	1	217														
28	28	111/2	111/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	218	Als													
28	28	54	54	0.0	0	0	Spanner	2/4	2	1	0																			1
28	28	54	54	0.16666666666666666	0	0	Chord	2/4	2	1	1/24			1/16	2/3	219														1
28	28	325/6	325/6	0.16666666666666666	1/24	1/24	Chord	2/4	2	1	1/24			1/16	2/3	220														1
28	28	163/3	163/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24			1/16	2/3	221														1
28	28	109/2	109/2	0.16666666666666666	1/8	1/8	Chord	2/4	2	1	1/24			1/16	2/3	222														1
28	28	164/3	164/3	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24			1/16	2/3	223														1
28	28	329/6	329/6	0.0	5/24	5/24	Spanner	2/4	2	1	0																		2	1
28	28	329/6	329/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24			1/16	2/3	224													2	1
28	28	55	55	0.0	1/4	1/4	Spanner	2/4	2	1	0																			1
28	28	55	55	0.0	1/4	1/4	Spanner	2/4	2	1	0																3			1
28	28	55	55	0.16666666666666666	1/4	1/4	Chord	2/4	2	1	1/24			1/16	2/3	225											3			1
28	28	331/6	331/6	0.0	7/24	7/24	Spanner	2/4	2	1	0																			1
28	28	331/6	331/6	0.16666666666666666	7/24	7/24	Chord	2/4	2	1	1/24			1/16	2/3	226														1
28	28	166/3	166/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24			1/16	2/3	227														1
28	28	111/2	111/2	0.16666666666666666	3/8	3/8	Chord	2/4	2	1	1/24			1/16	2/3	228														1
28	28	167/3	167/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	1	1/24			1/16	2/3	229														1
28	28	335/6	335/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24			1/16	2/3	230														1
28	28	54	54	0.16666666666666666	0	0	Chord	2/4	3	1	1/24			1/16	2/3	231														
28	28	325/6	325/6	0.16666666666666666	1/24	1/24	Chord	2/4	3	1	1/24			1/16	2/3	232														
28	28	163/3	163/3	0.16666666666666666	1/12	1/12	Chord	2/4	3	1	1/24			1/16	2/3	233														
28	28	109/2	109/2	0.16666666666666666	1/8	1/8	Chord	2/4	3	1	1/24			1/16	2/3	234														
28	28	164/3	164/3	0.16666666666666666	1/6	1/6	Chord	2/4	3	1	1/24			1/16	2/3	235														
28	28	329/6	329/6	0.16666666666666666	5/24	5/24	Chord	2/4	3	1	1/24			1/16	2/3	236														
28	28	55	55	0.16666666666666666	1/4	1/4	Chord	2/4	3	1	1/24			1/16	2/3	237														
28	28	331/6	331/6	0.16666666666666666	7/24	7/24	Chord	2/4	3	1	1/24			1/16	2/3	238														
28	28	166/3	166/3	0.16666666666666666	1/3	1/3	Chord	2/4	3	1	1/24			1/16	2/3	239														
28	28	111/2	111/2	0.16666666666666666	3/8	3/8	Chord	2/4	3	1	1/24			1/16	2/3	240														
28	28	167/3	167/3	0.16666666666666666	5/12	5/12	Chord	2/4	3	1	1/24			1/16	2/3	241														
28	28	335/6	335/6	0.16666666666666666	11/24	11/24	Chord	2/4	3	1	1/24			1/16	2/3	242														
29	29	56	56	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	243	noch													
29	29	113/2	113/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	244	die													
29	29	57	57	0.75	1/4	1/4	Chord	2/4	1	1	3/16			1/8	3/2	245	Stür-													
29	29	231/4	231/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	246	me													
29	29	56	56	0.0	0	0	Spanner	2/4	2	1	0																			
29	29	56	56	0.16666666666666666	0	0	Chord	2/4	2	1	1/24			1/16	2/3	247														
