mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	diminuendo_line	crescendo_line	decrescendo_hairpin	crescendo_hairpin
6	5	18	18	2.0	1/4	1/4	Chord	2/2	3	1	1/2		1/2	1	32			articAccentAbove												
6	5	20	20	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	33			articStaccatoAbove												
7	6	21	21	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	34			articAccentStaccatoBelow												
7	6	22	22	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	35			articStaccatoBelow												
7	6	45/2	45/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	36			articStaccatoBelow												
7	6	23	23	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	37			articStaccatoBelow												
7	6	24	24	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	38			articStaccatoBelow												
7	6	21	21	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	39			articAccentStaccatoAbove												
7	6	22	22	0.5	1/4	1/4	Chord	2/2	3	1	1/8		1/8	1	40			articStaccatoBelow												
7	6	45/2	45/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8		1/8	1	41			articStaccatoBelow												
7	6	23	23	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	42			articStaccatoBelow												
7	6	24	24	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	43			articStaccatoBelow												
8	7	28	28	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	44	Ge-														
8	7	25	25	3.0	0	0	Chord	2/2	2	1	3/4		1/2	3/2	45															
8	7	28	28	0.0	3/4	3/4	Dynamic	2/2	2	1	0						pp													
8	7	28	28	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	46			articStaccatoBelow												
8	7	25	25	3.0	0	0	Chord	2/2	3	1	3/4		1/2	3/2	47															
8	7	28	28	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	48															
9	8	29	29	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	49	-fror'-														
9	8	30	30	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	50	-ne														
9	8	61/2	61/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	51															
9	8	31	31	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	52	Trop-														
9	8	32	32	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	53	-fen														
9	8	29	29	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	54			articStaccatoBelow												
9	8	30	30	2.0	1/4	1/4	Chord	2/2	2	1	1/2		1/2	1	55			articAccentAbove												
9	8	32	32	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	56			articStaccatoBelow												
9	8	29	29	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	57															
9	8	32	32	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	58															
10	9	33	33	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	59	fal-														
10	9	35	35	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	60	-len														
10	9	36	36	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	61	von														
10	9	73/2	73/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	62															
10	9	33	33	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	63			articStaccatoBelow												
10	9	36	36	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	64			articStaccatoBelow												
10	9	33	33	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	65			articStaccatoAbove												
10	9	34	34	2.0	1/4	1/4	Chord	2/2	3	1	1/2		1/2	1	66			articAccentAbove												
10	9	36	36	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	67			articStaccatoBelow												
11	10	37	37	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	68	mei-														
11	10	38	38	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	69	-nen-														
11	10	77/2	77/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	70															
11	10	39	39	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	71	-Wan-														
11	10	40	40	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	72	-gen														
11	10	37	37	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	73			articStaccatoBelow												
11	10	38	38	2.0	1/4	1/4	Chord	2/2	2	1	1/2		1/2	1	74			articAccentAbove												
11	10	40	40	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	75			articStaccatoBelow												
11	10	37	37	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	76			articStaccatoAbove												
11	10	40	40	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	77			articStaccatoBelow												
12	11	41	41	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	78	ab:														
12	11	41	41	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	79			articStaccatoBelow												
12	11	43	43	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	80			articStaccatoBelow												
12	11	44	44	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	81											3				
12	11	41	41	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	82			articStaccatoAbove												
12	11	42	42	2.0	1/4	1/4	Chord	2/2	3	1	1/2		1/2	1	83			articAccentAbove												
12	11	44	44	0.0	3/4	3/4	Dynamic	2/2	3	1	0						fp													
12	11	44	44	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	84			articStaccatoAbove												
13	12	45	45	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	85	ob														
13	12	46	46	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	86	es														
13	12	93/2	93/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	87	mir														
13	12	47	47	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	88	denn														
13	12	48	48	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	89	ent-														
13	12	45	45	0.0	0	0	Spanner	2/2	2	1	0																		0	
13	12	45	45	0.0	0	0	Spanner	2/2	2	1	0																1		0	
13	12	45	45	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	90												1		0	
13	12	46	46	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	91												1		0	
13	12	47	47	0.0	1/2	1/2	Spanner	2/2	2	1	0																1			
13	12	47	47	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	92												1			
13	12	48	48	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	93												1			
13	12	45	45	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	94															
13	12	46	46	1.0	1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	95															
13	12	47	47	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	96															
13	12	48	48	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	97															
14	13	49	49	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	98	-gan-										4				
14	13	50	50	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	99											4				
14	13	101/2	101/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	100															
14	13	51	51	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	101	-gen,														
14	13	52	52	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	102	dass														
14	13	49	49	0.0	0	0	Spanner	2/2	2	1	0																			
14	13	49	49	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	103															
14	13	50	50	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	104															
14	13	101/2	101/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	105															
14	13	51	51	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	106															
14	13	52	52	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	107															
14	13	49	49	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	108			articStaccatoAbove												
14	13	50	50	2.0	1/4	1/4	Chord	2/2	3	1	1/2		1/2	1	109			articAccentAbove												
14	13	52	52	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	110			articStaccatoAbove												
15	14	53	53	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	111	-ich														
15	14	54	54	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	112	ge-														
15	14	109/2	109/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	113															
15	14	55	55	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	114	wei-														
15	14	56	56	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	115	-net														
15	14	53	53	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	116															
15	14	54	54	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	117															
15	14	109/2	109/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	118															
15	14	55	55	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	119															
15	14	56	56	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	120															
15	14	53	53	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	121			articStaccatoAbove												
15	14	54	54	2.0	1/4	1/4	Chord	2/2	3	1	1/2		1/2	1	122			articAccentAbove												
15	14	56	56	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	123			articStaccatoAbove												
16	15	57	57	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	124	hab'?														
16	15	60	60	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	125	dass														
16	15	57	57	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	126															
16	15	58	58	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	127															
16	15	117/2	117/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	128															
16	15	59	59	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	129															
16	15	60	60	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	130															
16	15	57	57	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	131			articStaccatoAbove												
16	15	58	58	2.0	1/4	1/4	Chord	2/2	3	1	1/2		1/2	1	132			articAccentAbove												
16	15	60	60	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	133			articStaccatoAbove												
17	16	61	61	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	134	ich														
17	16	123/2	123/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	135															
17	16	62	62	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	136	ge-														
17	16	125/2	125/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	137															
17	16	63	63	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	138	-wei-														
17	16	64	64	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	139	-net														
17	16	61	61	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	140															
17	16	62	62	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	141															
17	16	125/2	125/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	142															
17	16	63	63	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	143															
17	16	64	64	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	144															
17	16	61	61	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	145			articStaccatoAbove												
17	16	62	62	2.0	1/4	1/4	Chord	2/2	3	1	1/2		1/2	1	146			articAccentAbove												
17	16	64	64	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	147			articStaccatoBelow												
18	17	65	65	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	148	hab'?														
18	17	65	65	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	149															
18	17	66	66	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	150															
18	17	133/2	133/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	151															
18	17	67	67	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	152			articAccentBelow												
18	17	68	68	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	153															
18	17	65	65	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	154			articStaccatoBelow												
18	17	66	66	2.0	1/4	1/4	Chord	2/2	3	1	1/2		1/2	1	155			articAccentAbove												
18	17	68	68	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	156			articStaccatoBelow												
19	18	69	69	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	157															
19	18	70	70	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	158															
19	18	141/2	141/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	159															
19	18	71	71	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	160			articAccentBelow												
19	18	72	72	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	161															
19	18	69	69	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	162			articStaccatoBelow												
19	18	70	70	2.0	1/4	1/4	Chord	2/2	3	1	1/2		1/2	1	163			articAccentAbove												
19	18	72	72	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	164			articStaccatoBelow												
20	19	73	73	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	165			articStaccatoBelow												
20	19	74	74	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	166			articStaccatoBelow												
20	19	149/2	149/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	167			articStaccatoBelow												
20	19	75	75	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	168			articAccentStaccatoBelow												
20	19	76	76	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	169			articStaccatoBelow												
20	19	73	73	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	170			articStaccatoBelow												
20	19	74	74	0.5	1/4	1/4	Chord	2/2	3	1	1/8		1/8	1	171			articStaccatoBelow												
20	19	149/2	149/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8		1/8	1	172			articStaccatoBelow												
20	19	75	75	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	173			articAccentStaccatoBelow												
20	19	76	76	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	174			articStaccatoBelow												
21	20	80	80	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	175	Ei														
21	20	77	77	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	176			articStaccatoAbove												
21	20	78	78	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	177			articStaccatoAbove												
21	20	157/2	157/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	178			articAccentStaccatoAbove												
21	20	79	79	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	179			articStaccatoAbove												
21	20	80	80	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	180			articStaccatoAbove												
21	20	77	77	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	181			articStaccatoBelow												
21	20	78	78	0.5	1/4	1/4	Chord	2/2	3	1	1/8		1/8	1	182			articStaccatoBelow												
21	20	157/2	157/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8		1/8	1	183			articStaccatoBelow												
21	20	79	79	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	184			articAccentStaccatoBelow												
21	20	80	80	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	185			articStaccatoBelow												
22	21	81	81	0.0	0	0	Chord	2/2	1	1	0	appoggiatura	1/8	1	186															
22	21	81	81	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	187	Thrä-														
22	21	82	82	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	188	-nen,														
22	21	84	84	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	189	mei-														
22	21	169/2	169/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	190	-ne														
22	21	81	81	0.0	0	0	Dynamic	2/2	2	1	0						pp													
22	21	81	81	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	191			articStaccatoBelow												
22	21	82	82	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	192			articStaccatoAbove												
22	21	84	84	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	193			articStaccatoAbove												
22	21	81	81	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	194			articStaccatoBelow												
22	21	83	83	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	195			articStaccatoBelow												
23	22	85	85	0.0	0	0	Chord	2/2	1	1	0	appoggiatura	1/8	1	196															
23	22	85	85	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	197	Thrä-														
23	22	86	86	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	198	-nen,														
23	22	88	88	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	199	und														
23	22	86	86	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	200			articStaccatoAbove												
23	22	88	88	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	201															
23	22	85	85	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	202			articStaccatoBelow												
23	22	87	87	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	203															
24	23	89	89	1.5	0	0	Chord	2/2	1	1	3/8		1/4	3/2	204	seid														
24	23	181/2	181/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	205	ihr														
24	23	91	91	1.5	1/2	1/2	Chord	2/2	1	1	3/8		1/4	3/2	206	gar														
24	23	185/2	185/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	207	so														
24	23	90	90	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	208															
24	23	92	92	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	209															
24	23	89	89	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	210															
24	23	91	91	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	211			articAccentBelow												
25	24	93	93	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	212	lau,														
25	24	95	95	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	213	dass														
25	24	96	96	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	214	ihr														
25	24	193/2	193/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	215	er-														
25	24	94	94	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	216															
25	24	95	95	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	217											5				
25	24	96	96	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	218											5				
25	24	93	93	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	219															
25	24	95	95	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	220											6				
25	24	96	96	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	221											6				
26	25	97	97	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	222	-starrt														
26	25	100	100	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	223	zu														
26	25	97	97	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	224															
26	25	98	98	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	225															
26	25	100	100	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	226															
26	25	97	97	0.5	0	0	Chord	2/2	3	1	1/8		1/8	1	227															
26	25	99	99	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	228															
27	26	101	101	0.0	0	0	Chord	2/2	1	1	0	acciaccatura	1/8	1	229															
27	26	101	101	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	230	Ei-														
27	26	102	102	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	231	-se,														
27	26	104	104	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	232	wie														
27	26	102	102	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	233															
27	26	104	104	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	234															
27	26	101	101	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	235															
27	26	103	103	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	236															
28	27	105	105	1.5	0	0	Chord	2/2	1	1	3/8		1/4	3/2	237	küh-														
28	27	213/2	213/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	238	-ler														
28	27	107	107	1.5	1/2	1/2	Chord	2/2	1	1	3/8		1/4	3/2	239	Mor-														
28	27	217/2	217/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	240	-gen-														
28	27	106	106	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	241															
28	27	108	108	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	242			articAccentBelow												
28	27	105	105	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	243															
28	27	107	107	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	244			articAccentBelow												
29	28	109	109	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	245	-thau?														
29	28	110	110	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	246															
29	28	112	112	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	247															
29	28	109	109	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	248															
29	28	111	111	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	249															
30	29	116	116	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	250	Und														
30	29	114	114	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	251															
30	29	115	115	0.0	1/2	1/2	Spanner	2/2	2	1	0																			0
30	29	116	116	0.0	3/4	3/4	Spanner	2/2	2	1	0																			
30	29	116	116	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	252															
30	29	113	113	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	253															
30	29	115	115	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	254															
31	30	117	117	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	255	dringt														
31	30	118	118	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	256	doch														
31	30	237/2	237/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	257															
31	30	119	119	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	258	aus														
31	30	120	120	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	259	der														
31	30	117	117	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	260			articAccentBelow												
31	30	118	118	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	261															
31	30	237/2	237/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	262															
31	30	119	119	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	263															
31	30	120	120	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	264															
31	30	117	117	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	265															
