mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
4	3	9	9	0.25	5/8	5/8	Chord	3/4	2	1	1/16	1/16	1	21			ornamentTurn							9		
4	3	37/4	37/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	22												
4	3	13/2	13/2	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	23												
4	3	15/2	15/2	1.5	1/4	1/4	Chord	3/4	2	2	3/8	1/4	3/2	24												
4	3	9	9	0.5	5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	25												
4	3	13/2	13/2	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	26										10		
4	3	15/2	15/2	1.5	1/4	1/4	Chord	3/4	3	1	3/8	1/4	3/2	27												
4	3	9	9	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	28												
5	4	12	12	0.0	5/8	5/8	Dynamic	3/4	1	1	0					p										
5	4	12	12	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	29	Drei											
5	4	19/2	19/2	0.0	0	0	Spanner	3/4	2	1	0															2
5	4	19/2	19/2	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	30										11		2
5	4	41/4	41/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	31												2
5	4	21/2	21/2	0.0	1/4	1/4	Spanner	3/4	2	1	0															
5	4	21/2	21/2	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	32												
5	4	12	12	0.0	5/8	5/8	Dynamic	3/4	2	1	0					pp										
5	4	12	12	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	33												
5	4	19/2	19/2	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	34												
5	4	21/2	21/2	1.5	1/4	1/4	Chord	3/4	2	2	3/8	1/4	3/2	35												
5	4	12	12	0.5	5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	36												
5	4	19/2	19/2	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	37										12		
5	4	21/2	21/2	1.5	1/4	1/4	Chord	3/4	3	1	3/8	1/4	3/2	38												
5	4	12	12	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	39												
6	5	25/2	25/2	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	40	Son-											
6	5	53/4	53/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	41	-nen											
6	5	27/2	27/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	42	sah											
6	5	29/2	29/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	43	ich											
6	5	15	15	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	44	am											
6	5	25/2	25/2	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	45										13		
6	5	53/4	53/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	46												
6	5	27/2	27/2	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	47										14		
6	5	15	15	0.0	5/8	5/8	Spanner	3/4	2	1	0														1	
6	5	15	15	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	48											1	
6	5	25/2	25/2	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	49											1	
6	5	25/2	25/2	0.75	0	0	Chord	3/4	3	1	3/16	1/8	3/2	50										15		
6	5	53/4	53/4	0.25	3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	51												
6	5	27/2	27/2	1.5	1/4	1/4	Chord	3/4	3	1	3/8	1/4	3/2	52										16		
6	5	15	15	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	53												
7	6	31/2	31/2	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	54	Him-											
7	6	65/4	65/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	55	-mel											
7	6	33/2	33/2	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	56	stehn,											
7	6	18	18	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	57	hab											
7	6	31/2	31/2	0.0	0	0	Spanner	3/4	2	1	0															
7	6	31/2	31/2	0.0	0	0	Spanner	3/4	2	1	0															3
7	6	31/2	31/2	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	58										17		3
7	6	65/4	65/4	0.0	3/16	3/16	Spanner	3/4	2	1	0															
7	6	65/4	65/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	59												
7	6	33/2	33/2	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	60										18		
7	6	18	18	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	61												
7	6	31/2	31/2	0.75	0	0	Chord	3/4	3	1	3/16	1/8	3/2	62										19		
7	6	65/4	65/4	0.25	3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	63												
7	6	33/2	33/2	1.5	1/4	1/4	Chord	3/4	3	1	3/8	1/4	3/2	64												
7	6	18	18	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	65												
8	7	37/2	37/2	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	66	lang'											
8	7	77/4	77/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	67	und											
8	7	39/2	39/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	68	fest											
8	7	41/2	41/2	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	69												
8	7	125/6	125/6	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	70										20		
8	7	127/6	127/6	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	71	sie											
8	7	37/2	37/2	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	72										21		
8	7	77/4	77/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	73										21		
8	7	39/2	39/2	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	74												
8	7	21	21	0.0	5/8	5/8	Dynamic	3/4	2	1	0					pp										
8	7	21	21	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	75												
8	7	37/2	37/2	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	76												
8	7	39/2	39/2	1.5	1/4	1/4	Chord	3/4	2	2	3/8	1/4	3/2	77												
8	7	37/2	37/2	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	78										22		
8	7	39/2	39/2	1.5	1/4	1/4	Chord	3/4	3	1	3/8	1/4	3/2	79												
8	7	21	21	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	80												
9	8	43/2	43/2	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	81	an-											
9	8	89/4	89/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	82	-ge-											
9	8	45/2	45/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	83	-sehn;											
9	8	43/2	43/2	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	84										23		
9	8	89/4	89/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	85										23		
9	8	45/2	45/2	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	86												
9	8	43/2	43/2	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	87												
9	8	45/2	45/2	1.5	1/4	1/4	Chord	3/4	2	2	3/8	1/4	3/2	88												
9	8	24	24	0.0	5/8	5/8	Dynamic	3/4	2	2	0					mf										
9	8	24	24	0.5	5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	89												
9	8	43/2	43/2	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	90										24		
9	8	45/2	45/2	1.5	1/4	1/4	Chord	3/4	3	1	3/8	1/4	3/2	91												
9	8	24	24	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	92												
10	9	27	27	0.0	5/8	5/8	Dynamic	3/4	1	1	0					f										
10	9	27	27	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	93	Und											
10	9	49/2	49/2	0.0	0	0	Spanner	3/4	2	1	0															4
10	9	49/2	49/2	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	94										25		4
10	9	101/4	101/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	95										25		4
10	9	51/2	51/2	0.0	1/4	1/4	Spanner	3/4	2	1	0															
10	9	51/2	51/2	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	96												
10	9	49/2	49/2	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	97												
10	9	51/2	51/2	1.5	1/4	1/4	Chord	3/4	2	2	3/8	1/4	3/2	98												
10	9	27	27	0.0	5/8	5/8	Dynamic	3/4	2	2	0					f										
10	9	27	27	0.5	5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	99												
10	9	49/2	49/2	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	100										26		
10	9	51/2	51/2	1.5	1/4	1/4	Chord	3/4	3	1	3/8	1/4	3/2	101												
10	9	27	27	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	102												
11	10	55/2	55/2	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	103	sie											
11	10	113/4	113/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	104	auch											
11	10	57/2	57/2	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	105	stan-											
11	10	30	30	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	106	-den											
11	10	55/2	55/2	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	107										27		
11	10	113/4	113/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	108												
11	10	57/2	57/2	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	109												
11	10	30	30	0.0	5/8	5/8	Spanner	3/4	2	1	0														2	
11	10	30	30	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	110											2	
11	10	55/2	55/2	0.75	0	0	Chord	3/4	3	1	3/16	1/8	3/2	111										28		
11	10	113/4	113/4	0.25	3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	112												
11	10	57/2	57/2	1.5	1/4	1/4	Chord	3/4	3	1	3/8	1/4	3/2	113												
11	10	30	30	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	114												
12	11	61/2	61/2	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	115	da											
12	11	125/4	125/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	116	so											
12	11	63/2	63/2	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	117	stier,											
12	11	33	33	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	118	als											
12	11	61/2	61/2	0.0	0	0	Spanner	3/4	2	1	0															
12	11	61/2	61/2	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	119										29		
12	11	125/4	125/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	120										29		
12	11	63/2	63/2	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	121												
12	11	61/2	61/2	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	122												
12	11	63/2	63/2	1.5	1/4	1/4	Chord	3/4	2	2	3/8	1/4	3/2	123												
12	11	33	33	0.5	5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	124												
12	11	61/2	61/2	0.75	0	0	Chord	3/4	3	1	3/16	1/8	3/2	125										30		
12	11	125/4	125/4	0.25	3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	126												
12	11	63/2	63/2	1.5	1/4	1/4	Chord	3/4	3	1	3/8	1/4	3/2	127												
12	11	33	33	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	128												
13	12	67/2	67/2	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	129	woll-											
13	12	137/4	137/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	130	-ten											
13	12	69/2	69/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	131	sie											
13	12	71/2	71/2	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	132										31		
13	12	215/6	215/6	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	133										32		
13	12	217/6	217/6	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	134	nicht											
13	12	67/2	67/2	0.0	0	0	Spanner	3/4	2	1	0															5
13	12	67/2	67/2	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	135										33		5
13	12	137/4	137/4	0.0	3/16	3/16	Spanner	3/4	2	1	0													33		
13	12	137/4	137/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	136										33		
13	12	69/2	69/2	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	137												
13	12	67/2	67/2	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	138												
13	12	69/2	69/2	1.5	1/4	1/4	Chord	3/4	2	2	3/8	1/4	3/2	139												
13	12	36	36	0.0	5/8	5/8	Dynamic	3/4	2	2	0					p										
13	12	36	36	0.5	5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	140												
13	12	67/2	67/2	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	141										34		
13	12	69/2	69/2	1.5	1/4	1/4	Chord	3/4	3	1	3/8	1/4	3/2	142												
13	12	36	36	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	143												
14	13	73/2	73/2	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	144	weg											
14	13	149/4	149/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	145	von											
14	13	75/2	75/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	146	mir.											
14	13	73/2	73/2	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	147										35		
14	13	149/4	149/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	148										35		
14	13	75/2	75/2	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	149												
14	13	73/2	73/2	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	150												
14	13	75/2	75/2	1.5	1/4	1/4	Chord	3/4	2	2	3/8	1/4	3/2	151												
14	13	39	39	0.0	5/8	5/8	Dynamic	3/4	2	2	0					f										
14	13	39	39	0.5	5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	152												
14	13	73/2	73/2	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	153										36		
14	13	75/2	75/2	1.5	1/4	1/4	Chord	3/4	3	1	3/8	1/4	3/2	154												
14	13	39	39	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	155												
15	14	79/2	79/2	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	156										37		
15	14	161/4	161/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	157										37		
15	14	81/2	81/2	0.0	1/4	1/4	Spanner	3/4	2	1	0														3	
15	14	81/2	81/2	0.0	1/4	1/4	Spanner	3/4	2	1	0														3	6
15	14	81/2	81/2	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	158											3	6
15	14	42	42	0.0	5/8	5/8	Spanner	3/4	2	1	0															
15	14	42	42	0.0	5/8	5/8	Spanner	3/4	2	1	0															
15	14	79/2	79/2	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	159												
15	14	81/2	81/2	1.5	1/4	1/4	Chord	3/4	2	2	3/8	1/4	3/2	160												
15	14	42	42	0.0	5/8	5/8	Dynamic	3/4	2	2	0					p										
15	14	42	42	0.5	5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	161												
15	14	79/2	79/2	0.75	0	0	Chord	3/4	3	1	3/16	1/8	3/2	162										38		
15	14	161/4	161/4	0.25	3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	163												
15	14	81/2	81/2	1.5	1/4	1/4	Chord	3/4	3	1	3/8	1/4	3/2	164										39		
15	14	42	42	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	165												
16	15	45	45	0.0	5/8	5/8	Dynamic	3/4	1	1	0					mp										
16	15	45	45	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	166	Ach,											
16	15	85/2	85/2	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	167										40		
16	15	173/4	173/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	168										40		
16	15	87/2	87/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	169												
16	15	85/2	85/2	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	170												
16	15	87/2	87/2	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	171												
16	15	85/2	85/2	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	172										41		
16	15	87/2	87/2	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	173												
17	16	91/2	91/2	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	174	mei-											
17	16	46	46	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	175	-ne											
17	16	93/2	93/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	176	Son											
17	16	47	47	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	177	nen											
17	16	95/2	95/2	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	178	seid									42		
17	16	287/6	287/6	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	179												
17	16	289/6	289/6	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	180	ihr											
17	16	91/2	91/2	0.0	0	0	Dynamic	3/4	2	1	0					p										
17	16	91/2	91/2	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	181												
17	16	48	48	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	182												
17	16	91/2	91/2	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	183												
17	16	48	48	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	184												
18	17	97/2	97/2	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	185	nicht!											
18	17	51	51	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	186	schaut											
18	17	97/2	97/2	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	187			articStaccatoAbove							43		
18	17	49	49	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	188			articStaccatoAbove							43		
18	17	99/2	99/2	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	189			articStaccatoAbove							43		
18	17	50	50	0.0	3/8	3/8	Spanner	3/4	2	1	0														4	
18	17	50	50	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	190			articStaccatoAbove								4	
18	17	101/2	101/2	0.0	1/2	1/2	Spanner	3/4	2	1	0															
18	17	101/2	101/2	0.0	1/2	1/2	Spanner	3/4	2	1	0															7
18	17	101/2	101/2	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12	1/8	2/3	191										44		7
18	17	305/6	305/6	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12	1/8	2/3	192										44		7
18	17	51	51	0.0	5/8	5/8	Spanner	3/4	2	1	0													44		
18	17	307/6	307/6	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12	1/8	2/3	193												
18	17	101/2	101/2	0.5	1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	194												
18	17	51	51	0.5	5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	195												
18	17	97/2	97/2	0.5	0	0	Chord	3/4	3	1	1/8	1/8	1	196			articStaccatoBelow							45		
18	17	49	49	0.5	1/8	1/8	Chord	3/4	3	1	1/8	1/8	1	197			articStaccatoBelow							45		
18	17	99/2	99/2	0.5	1/4	1/4	Chord	3/4	3	1	1/8	1/8	1	198			articStaccatoBelow							45		
18	17	50	50	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	199			articStaccatoBelow									
18	17	101/2	101/2	0.5	1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	200												
18	17	51	51	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	201												
19	18	103/2	103/2	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	202	an-											
19	18	209/4	209/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	203	-dern											
19	18	105/2	105/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	204	doch											
19	18	53	53	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	205	ins											
19	18	107/2	107/2	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	206	An-											
19	18	217/4	217/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	207	-ge-											
19	18	103/2	103/2	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	208												
19	18	54	54	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	209												
19	18	103/2	103/2	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	210												
19	18	54	54	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	211												
20	19	109/2	109/2	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	212	-sicht!											
20	19	57	57	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	213	ja,											
20	19	109/2	109/2	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	214										46		
20	19	55	55	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	215										46		
20	19	111/2	111/2	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	216										46		
20	19	56	56	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	217										46		
20	19	113/2	113/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	218										46		
20	19	57	57	0.0	5/8	5/8	Spanner	3/4	2	1	0														5	
20	19	57	57	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	219											5	
20	19	109/2	109/2	0.5	0	0	Chord	3/4	3	1	1/8	1/8	1	220										47		
20	19	55	55	0.5	1/8	1/8	Chord	3/4	3	1	1/8	1/8	1	221										47		
20	19	111/2	111/2	0.5	1/4	1/4	Chord	3/4	3	1	1/8	1/8	1	222										47		
20	19	56	56	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	223										47		
20	19	113/2	113/2	0.5	1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	224										47		
20	19	57	57	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	225												
21	20	115/2	115/2	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	226	neu-											
21	20	233/4	233/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	227	-lich											
21	20	117/2	117/2	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	228	hatt											
21	20	60	60	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	229	ich											
21	20	115/2	115/2	0.0	0	0	Spanner	3/4	2	1	0															
21	20	115/2	115/2	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	230										48		
21	20	233/4	233/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	231										48		
21	20	117/2	117/2	0.0	1/4	1/4	Spanner	3/4	2	1	0														6	
21	20	117/2	117/2	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	232										49	6	
21	20	60	60	0.0	5/8	5/8	Spanner	3/4	2	1	0															
21	20	115/2	115/2	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	233												
21	20	117/2	117/2	1.5	1/4	1/4	Chord	3/4	2	2	3/8	1/4	3/2	234												
21	20	60	60	0.5	5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	235												
21	20	115/2	115/2	0.75	0	0	Chord	3/4	3	1	3/16	1/8	3/2	236										50		
21	20	233/4	233/4	0.25	3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	237												
21	20	117/2	117/2	1.5	1/4	1/4	Chord	3/4	3	1	3/8	1/4	3/2	238										51		
21	20	60	60	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	239												
