mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
3	3	27/4	27/4	0.25	3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	24													
3	3	7	7	0.75	1/4	1/4	Chord	3/4	3	1	3/16	1/8	3/2	25													
3	3	31/4	31/4	0.25	7/16	7/16	Chord	3/4	3	1	1/16	1/16	1	26													
3	3	8	8	0.75	1/2	1/2	Chord	3/4	3	1	3/16	1/8	3/2	27													
3	3	35/4	35/4	0.25	11/16	11/16	Chord	3/4	3	1	1/16	1/16	1	28													
4	4	9	9	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	29													
4	4	9	9	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	30													
5	5	12	12	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	31	Man-	Schnee,											
5	5	37/3	37/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	32													
5	5	38/3	38/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	33	-che	du											
5	5	13	13	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	34	Thrän'	weisst											
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	35	aus	von											
5	5	12	12	0.0	0	0	Dynamic	3/4	2	1	0						p										
5	5	12	12	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	36													
5	5	51/4	51/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	37													
5	5	13	13	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	38													
5	5	12	12	0.75	0	0	Chord	3/4	3	1	3/16	1/8	3/2	39													
5	5	51/4	51/4	0.25	3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	40													
5	5	13	13	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	41													
6	6	15	15	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	42	mei-	mei-											
6	6	46/3	46/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	43													
6	6	47/3	47/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	44	-nen	-nem											
6	6	16	16	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	45	Au-	Seh-											
6	6	17	17	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	46	-gen	-nen,											
6	6	15	15	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	47													
6	6	63/4	63/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	48													
6	6	16	16	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	49													
6	6	15	15	0.75	0	0	Chord	3/4	3	1	3/16	1/8	3/2	50													
6	6	63/4	63/4	0.25	3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	51													
6	6	16	16	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	52													
7	7	18	18	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	53	ist	sag',											
7	7	75/4	75/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	54	ge-	wo-											
7	7	19	19	0.75	1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	55	-fal-	-hin											
7	7	79/4	79/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	56	-len	doch											
7	7	20	20	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	57	in	geht											
7	7	61/3	61/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	58													
7	7	62/3	62/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	59	den	dein											
7	7	18	18	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	60													
7	7	75/4	75/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	61													
7	7	19	19	0.75	1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	62													
7	7	79/4	79/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	63													
7	7	20	20	0.75	1/2	1/2	Chord	3/4	2	1	3/16	1/8	3/2	64													
7	7	83/4	83/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	65													
8	8	21	21	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	66	Schnee;	Lauf?											
8	8	21	21	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	67													
8	8	21	21	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	68													
9	9	24	24	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	69	sei-	Fol-											
9	9	73/3	73/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	70													
9	9	74/3	74/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	71	-ne	-ge											
9	9	25	25	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	72	kal-	nach											
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	73	-ten	nur											
9	9	24	24	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	74													
9	9	99/4	99/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	75													
9	9	25	25	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	76													
9	9	24	24	0.75	0	0	Chord	3/4	3	1	3/16	1/8	3/2	77													
9	9	99/4	99/4	0.25	3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	78													
9	9	25	25	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	79													
10	10	27	27	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	80	flo-	mei-											
10	10	82/3	82/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	81													
10	10	83/3	83/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	82	-cken	-nen											
10	10	28	28	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	83	sau-	Thrä-											
10	10	29	29	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	84	-gen-	-nen,											
10	10	27	27	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	85													
10	10	111/4	111/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	86													
10	10	28	28	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	87													
10	10	27	27	0.75	0	0	Chord	3/4	3	1	3/16	1/8	3/2	88													
10	10	111/4	111/4	0.25	3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	89													
10	10	28	28	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	90													
11	11	30	30	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	91	dur-	nimmt-											
11	11	91/3	91/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	92													
11	11	92/3	92/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	93	-stig	-dich											
11	11	31	31	0.75	1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	94	ein	bald											
11	11	127/4	127/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	95	das	das											
11	11	32	32	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	96	hei-	Bäch-											
11	11	97/3	97/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	97													
11	11	98/3	98/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	98	-sse	-lein											
11	11	30	30	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	99													
11	11	123/4	123/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	100													
11	11	31	31	0.0	1/4	1/4	Spanner	3/4	2	1	0																0
11	11	31	31	0.75	1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	101													0
11	11	127/4	127/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	102													0
11	11	32	32	0.75	1/2	1/2	Chord	3/4	2	1	3/16	1/8	3/2	103													0
11	11	131/4	131/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	104													0
11	11	30	30	0.75	0	0	Chord	3/4	3	1	3/16	1/8	3/2	105													
11	11	123/4	123/4	0.25	3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	106													
11	11	31	31	0.75	1/4	1/4	Chord	3/4	3	1	3/16	1/8	3/2	107													
11	11	127/4	127/4	0.25	7/16	7/16	Chord	3/4	3	1	1/16	1/16	1	108													
11	11	32	32	0.75	1/2	1/2	Chord	3/4	3	1	3/16	1/8	3/2	109													
11	11	131/4	131/4	0.25	11/16	11/16	Chord	3/4	3	1	1/16	1/16	1	110													
12	12	33	33	0.0	0	0	Spanner	3/4	1	1	0																1
12	12	33	33	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	111	Weh,	auf,									6		1
12	12	69/2	69/2	0.0	3/8	3/8	Spanner	3/4	1	1	0														6	0	1
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	112											6	0	1
12	12	35	35	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	113												0	1
12	12	33	33	0.0	0	0	Spanner	3/4	2	1	0																
12	12	33	33	0.0	0	0	Spanner	3/4	2	1	0															1	
12	12	33	33	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	114												1	
12	12	33	33	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	115												1	
12	12	34	34	2.0	1/4	1/4	Chord	3/4	2	2	1/2	1/2	1	116												1	
12	12	33	33	0.0	0	0	Dynamic	3/4	3	1	0						fp										
12	12	33	33	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	117													
12	12	33	33	1.0	0	0	Chord	3/4	3	2	1/4	1/4	1	118													
12	12	34	34	2.0	1/4	1/4	Chord	3/4	3	2	1/2	1/2	1	119													
13	13	36	36	0.0	0	0	Spanner	3/4	1	1	0																
13	13	36	36	0.0	0	0	Spanner	3/4	1	1	0																
13	13	36	36	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	120	durch-	nimmt											
13	13	109/3	109/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	121													
13	13	110/3	110/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	122	-stig	dich											
13	13	37	37	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	123	ein-	bald											
13	13	112/3	112/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	124													
13	13	113/3	113/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	125	-das	das											
13	13	38	38	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	126	hei-	Bäch-											
13	13	115/3	115/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	127													
13	13	116/3	116/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	128	-sse	-lein											
13	13	36	36	0.0	0	0	Spanner	3/4	2	1	0																
13	13	36	36	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	129													
13	13	147/4	147/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	130													
13	13	37	37	0.0	1/4	1/4	Spanner	3/4	2	1	0																2
13	13	37	37	0.75	1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	131													2
13	13	151/4	151/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	132													2
13	13	38	38	0.75	1/2	1/2	Chord	3/4	2	1	3/16	1/8	3/2	133													2
13	13	155/4	155/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	134													2
13	13	36	36	0.0	0	0	Dynamic	3/4	3	1	0						mp										
13	13	36	36	0.75	0	0	Chord	3/4	3	1	3/16	1/8	3/2	135													
13	13	147/4	147/4	0.25	3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	136													
13	13	37	37	0.75	1/4	1/4	Chord	3/4	3	1	3/16	1/8	3/2	137													
13	13	151/4	151/4	0.25	7/16	7/16	Chord	3/4	3	1	1/16	1/16	1	138													
13	13	38	38	0.75	1/2	1/2	Chord	3/4	3	1	3/16	1/8	3/2	139													
13	13	155/4	155/4	0.25	11/16	11/16	Chord	3/4	3	1	1/16	1/16	1	140													
14	14	39	39	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	141	Weh.	auf.											
14	14	40	40	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	142													
14	14	39	39	0.0	0	0	Spanner	3/4	2	1	0																
14	14	39	39	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	143													
14	14	40	40	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	144													
14	14	39	39	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	145													
14	14	40	40	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	146													
15	15	42	42	0.3333333333333333	0	0	Chord	3/4	2	1	1/12	1/8	2/3	147											7		
15	15	127/3	127/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12	1/8	2/3	148											7		
15	15	128/3	128/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12	1/8	2/3	149													
15	15	43	43	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	150											8		
15	15	44	44	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	151											8		
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	152													
15	15	42	42	0.75	0	0	Chord	3/4	3	1	3/16	1/8	3/2	153													
15	15	171/4	171/4	0.25	3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	154													
15	15	43	43	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	155				articAccentAbove									
15	15	44	44	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	156													
16	16	45	45	0.3333333333333333	0	0	Chord	3/4	2	1	1/12	1/8	2/3	157											9		
16	16	136/3	136/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12	1/8	2/3	158											9		
16	16	137/3	137/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12	1/8	2/3	159													
16	16	46	46	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	160											10		
16	16	95/2	95/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	161													
16	16	45	45	0.75	0	0	Chord	3/4	3	1	3/16	1/8	3/2	162													
16	16	183/4	183/4	0.25	3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	163													
16	16	46	46	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	164				articAccentAbove									
17	17	48	48	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	165													
17	17	195/4	195/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	166											11		
17	17	49	49	0.75	1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	167													
17	17	199/4	199/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	168													
17	17	50	50	0.75	1/2	1/2	Chord	3/4	2	1	3/16	1/8	3/2	169													
17	17	203/4	203/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	170													
17	17	50	50	0.3333333333333333	1/2	1/2	Chord	3/4	2	2	1/12	1/8	2/3	171											12		
17	17	151/3	151/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	2	1/12	1/8	2/3	172													
17	17	152/3	152/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	2	1/12	1/8	2/3	173													
17	17	48	48	0.75	0	0	Chord	3/4	3	1	3/16	1/8	3/2	174													
17	17	195/4	195/4	0.25	3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	175													
17	17	49	49	0.75	1/4	1/4	Chord	3/4	3	1	3/16	1/8	3/2	176													
17	17	199/4	199/4	0.25	7/16	7/16	Chord	3/4	3	1	1/16	1/16	1	177													
17	17	50	50	0.75	1/2	1/2	Chord	3/4	3	1	3/16	1/8	3/2	178													
17	17	203/4	203/4	0.25	11/16	11/16	Chord	3/4	3	1	1/16	1/16	1	179													
18	18	51	51	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	180													
18	18	52	52	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	181													
18	18	51	51	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	182													
18	18	52	52	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	183													
19	19	54	54	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	184	Wenn	Wirst											
19	19	163/3	163/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	185													
19	19	164/3	164/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	186	die	mit											
19	19	55	55	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	187	Grä-	ihm											
19	19	56	56	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	188													
19	19	169/3	169/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	189													
19	19	170/3	170/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	190	-ser	die											
19	19	54	54	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	191													
19	19	219/4	219/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	192													
19	19	55	55	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	193													
19	19	56	56	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	194													
19	19	54	54	0.75	0	0	Chord	3/4	3	1	3/16	1/8	3/2	195													
19	19	219/4	219/4	0.25	3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	196													
19	19	55	55	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	197													
19	19	56	56	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	198													
20	20	57	57	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	199	spros-	Stadt											
20	20	172/3	172/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	200													
20	20	173/3	173/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	201	-sen	durch-											
20	20	58	58	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	202	wol-	-zie-											
20	20	59	59	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	203													
20	20	178/3	178/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	204													
20	20	179/3	179/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	205	-len	die											
20	20	57	57	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	206													
20	20	231/4	231/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	207													
20	20	58	58	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	208													
20	20	57	57	0.75	0	0	Chord	3/4	3	1	3/16	1/8	3/2	209													
20	20	231/4	231/4	0.25	3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	210													
20	20	58	58	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	211													
21	21	60	60	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	212	weht	mun-											
21	21	181/3	181/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	213													
21	21	182/3	182/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	214	da-	-tre											
21	21	61	61	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	215	-her-	Str-											
21	21	184/3	184/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	216													
21	21	185/3	185/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	217	-ein	-ssen											
21	21	62	62	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	218	lau-	ein											
21	21	187/3	187/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	219													
21	21	188/3	188/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	220	-er	und											
21	21	60	60	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	221													
21	21	243/4	243/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	222													
21	21	61	61	0.0	1/4	1/4	Spanner	3/4	2	1	0																3
21	21	61	61	0.75	1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	223													3
21	21	247/4	247/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	224													3
21	21	62	62	0.75	1/2	1/2	Chord	3/4	2	1	3/16	1/8	3/2	225													3
21	21	251/4	251/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	226													3
21	21	60	60	0.75	0	0	Chord	3/4	3	1	3/16	1/8	3/2	227													
21	21	243/4	243/4	0.25	3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	228													
21	21	61	61	0.75	1/4	1/4	Chord	3/4	3	1	3/16	1/8	3/2	229													
21	21	247/4	247/4	0.25	7/16	7/16	Chord	3/4	3	1	1/16	1/16	1	230													
21	21	62	62	0.75	1/2	1/2	Chord	3/4	3	1	3/16	1/8	3/2	231													
21	21	251/4	251/4	0.25	11/16	11/16	Chord	3/4	3	1	1/16	1/16	1	232													
22	22	63	63	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	233	Wind,	aus;											
22	22	64	64	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	234													
22	22	63	63	0.0	0	0	Spanner	3/4	2	1	0																
22	22	63	63	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	235													
22	22	64	64	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	236													
22	22	63	63	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	237													
22	22	64	64	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	238													
23	23	66	66	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	239	und	fühlst											
23	23	199/3	199/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	240													
23	23	200/3	200/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	241	das	du											
23	23	67	67	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	242	Eis-	mei-											
23	23	68	68	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	243													
23	23	205/3	205/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	244													
23	23	206/3	206/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	245	-zer	-ne											
23	23	66	66	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	246													
23	23	267/4	267/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	247													
23	23	67	67	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	248													
23	23	68	68	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	249													
23	23	66	66	0.75	0	0	Chord	3/4	3	1	3/16	1/8	3/2	250													
23	23	267/4	267/4	0.25	3/16	3/16	Chord	3/4	3	1	1/16	1/16	1	251													
23	23	67	67	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	252													
23	23	68	68	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	253													
24	24	69	69	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	254	springt	Thrä-											
24	24	208/3	208/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	255													
24	24	209/3	209/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	256	in	-nen											
24	24	70	70	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	257	Schol-	glü-											
