mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	diminuendo_line	decrescendo_hairpin	crescendo_hairpin
8	8	21	21	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	93														
8	8	22	22	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	94														
8	8	23	23	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	95														
9	9	24	24	0.0	0	0	Dynamic	3/4	2	1	0					p												
9	9	97/4	97/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16	1/16	1	96														
9	9	99/4	99/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	97														
9	9	101/4	101/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	98														
9	9	103/4	103/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	99														
9	9	105/4	105/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16	1/16	1	100														
9	9	107/4	107/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	101														
9	9	24	24	0.5	0	0	Chord	3/4	3	1	1/8	1/8	1	102														
9	9	49/2	49/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8	1/8	1	103														
9	9	25	25	0.5	1/4	1/4	Chord	3/4	3	1	1/8	1/8	1	104														
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	105														
9	9	26	26	0.5	1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	106														
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	107														
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	108	Es													
10	10	109/4	109/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16	1/16	1	109										12				
10	10	55/2	55/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16	1/16	1	110										12				
10	10	111/4	111/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	111														
10	10	113/4	113/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	112										13				
10	10	57/2	57/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16	1/16	1	113										13				
10	10	115/4	115/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	114														
10	10	117/4	117/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16	1/16	1	115										14				
10	10	59/2	59/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16	1/16	1	116										14				
10	10	119/4	119/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	117														
10	10	27	27	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	118														
10	10	28	28	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	119														
10	10	29	29	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	120														
11	11	30	30	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	121	brennt													
11	11	61/2	61/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	122	mir													
11	11	31	31	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	123	un-													
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	124	-ter													
11	11	32	32	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	125	bei-													
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	126	-den													
11	11	30	30	0.0	0	0	Dynamic	3/4	2	1	0					p												
11	11	121/4	121/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16	1/16	1	127														
11	11	123/4	123/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	128														
11	11	125/4	125/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	129														
11	11	127/4	127/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	130														
11	11	129/4	129/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16	1/16	1	131														
11	11	131/4	131/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	132														
11	11	30	30	0.5	0	0	Chord	3/4	3	1	1/8	1/8	1	133														
11	11	61/2	61/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8	1/8	1	134														
11	11	31	31	0.5	1/4	1/4	Chord	3/4	3	1	1/8	1/8	1	135														
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	136														
11	11	32	32	0.5	1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	137														
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	138														
12	12	33	33	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	139	Soh-													
12	12	67/2	67/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	140	-len,													
12	12	135/4	135/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	141	tret													
12	12	34	34	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	142	ich													
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	143	auch													
12	12	35	35	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	144	schon													
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	145	auf													
12	12	133/4	133/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16	1/16	1	146														
12	12	135/4	135/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	147														
12	12	137/4	137/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	148														
12	12	139/4	139/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	149														
12	12	141/4	141/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16	1/16	1	150														
12	12	143/4	143/4	0.0	11/16	11/16	Spanner	3/4	2	1	0																	4
12	12	143/4	143/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	151														4
