mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin
3	3	53/6	53/6	0.16666666666666666	5/24	5/24	Chord	4/4	3	1	1/24		1/16	2/3	60									9	
3	3	9	9	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	61			articStaccatissimoAbove							
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	62			articStaccatissimoAbove							
3	3	10	10	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	63										
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	64			articStaccatoAbove							
4	4	12	12	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	65	hat									
4	4	51/4	51/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	66	der									
4	4	13	13	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	67	Sturm									
4	4	53/4	53/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	68										
4	4	27/2	27/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	69	zer-									
4	4	55/4	55/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	70										
4	4	14	14	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	71	-ris-									
4	4	15	15	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	72	-sen									
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	73	des									
4	4	12	12	0.75	0	0	Chord	4/4	2	1	3/16		1/8	3/2	74									10	
4	4	51/4	51/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	75									10	
4	4	13	13	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	76									10	
4	4	53/4	53/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	77									10	
4	4	27/2	27/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	78									10	
4	4	55/4	55/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	79										
4	4	14	14	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	80									11	
4	4	15	15	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	81										
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	82			articStaccatoBelow							
4	4	12	12	0.75	0	0	Chord	4/4	3	1	3/16		1/8	3/2	83									12	
4	4	51/4	51/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16		1/16	1	84									12	
4	4	13	13	0.25	1/4	1/4	Chord	4/4	3	1	1/16		1/16	1	85									12	
4	4	53/4	53/4	0.25	5/16	5/16	Chord	4/4	3	1	1/16		1/16	1	86									12	
4	4	27/2	27/2	0.25	3/8	3/8	Chord	4/4	3	1	1/16		1/16	1	87									12	
4	4	55/4	55/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16		1/16	1	88										
4	4	14	14	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	89									13	
4	4	15	15	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	90										
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	91			articStaccatoAbove							
5	5	16	16	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	92	Him-									
5	5	67/4	67/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	93	-mels									
5	5	17	17	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	94	grau-									
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	95	-es									
5	5	18	18	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	96	Kleid!									
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	97	die									
5	5	16	16	0.75	0	0	Chord	4/4	2	1	3/16		1/8	3/2	98			articStaccatoAbove							
5	5	67/4	67/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	99			articStaccatoAbove							
5	5	17	17	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	100			articStaccatoAbove							
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	101			articStaccatoAbove							
5	5	18	18	1.5	1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	102			articAccentBelow							
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	103			articStaccatoBelow							
5	5	16	16	0.75	0	0	Chord	4/4	3	1	3/16		1/8	3/2	104			articStaccatoAbove							
5	5	67/4	67/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16		1/16	1	105			articStaccatoAbove							
5	5	17	17	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	106			articStaccatoAbove							
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	107			articStaccatoAbove							
5	5	18	18	1.5	1/2	1/2	Chord	4/4	3	1	3/8		1/4	3/2	108										
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	109			articStaccatoAbove							
6	6	20	20	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	110	Wol-									
6	6	83/4	83/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	111	-ken									
6	6	21	21	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	112	fe-									
6	6	85/4	85/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	113										
6	6	43/2	43/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	114	-tzen									
6	6	87/4	87/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	115										
6	6	22	22	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	116	flat-									
6	6	23	23	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	117	-tern									
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	118	um-									
6	6	20	20	0.75	0	0	Chord	4/4	2	1	3/16		1/8	3/2	119									14	
6	6	83/4	83/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	120									14	
6	6	21	21	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	121									14	
6	6	85/4	85/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	122									14	
6	6	43/2	43/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	123									14	
6	6	87/4	87/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	124										
6	6	22	22	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	125									15	
6	6	23	23	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	126										
6	6	47/2	47/2	0.0	7/8	7/8	Spanner	4/4	2	1	0														0
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	127									16	0
6	6	20	20	0.75	0	0	Chord	4/4	3	1	3/16		1/8	3/2	128									17	
6	6	83/4	83/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16		1/16	1	129									17	
6	6	21	21	0.25	1/4	1/4	Chord	4/4	3	1	1/16		1/16	1	130									17	
6	6	85/4	85/4	0.25	5/16	5/16	Chord	4/4	3	1	1/16		1/16	1	131									17	
6	6	43/2	43/2	0.25	3/8	3/8	Chord	4/4	3	1	1/16		1/16	1	132									17	
6	6	87/4	87/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16		1/16	1	133										
6	6	22	22	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	134									18	
6	6	23	23	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	135										
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	136									19	
7	7	24	24	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	137	-her									
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	138	in									
7	7	25	25	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	139	mat-									
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	140	-tem									
7	7	26	26	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	141	Streit,									
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	142	um-									
7	7	27	27	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	143	-her									
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	144	in									
7	7	24	24	0.0	0	0	Spanner	4/4	2	1	0														
7	7	24	24	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	145										
7	7	49/2	49/2	0.0	1/8	1/8	Spanner	4/4	2	1	0														1
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	146									20	1
7	7	25	25	0.0	1/4	1/4	Spanner	4/4	2	1	0														
7	7	25	25	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	147										
7	7	51/2	51/2	0.0	3/8	3/8	Spanner	4/4	2	1	0														2
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	148									21	2
7	7	26	26	0.0	1/2	1/2	Spanner	4/4	2	1	0														
7	7	26	26	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	149										
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	150			articStaccatoAbove							
7	7	27	27	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	151			articStaccatoAbove							
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	152			articStaccatoAbove							
7	7	24	24	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	153										
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	154									22	
7	7	25	25	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	155										
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	156									23	
7	7	26	26	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	157										
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	158			articStaccatoAbove							
7	7	27	27	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	159			articStaccatoAbove							
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	160			articStaccatoAbove							
8	8	28	28	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	161	mat-									
8	8	29	29	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	162	-tem									
8	8	30	30	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	163	Streit.									
8	8	28	28	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	164										
8	8	29	29	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	165										
8	8	30	30	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	166										
8	8	61/2	61/2	0.16666666666666666	5/8	5/8	Chord	4/4	2	1	1/24		1/16	2/3	167									24	
8	8	92/3	92/3	0.16666666666666666	2/3	2/3	Chord	4/4	2	1	1/24		1/16	2/3	168									24	
8	8	185/6	185/6	0.16666666666666666	17/24	17/24	Chord	4/4	2	1	1/24		1/16	2/3	169									24	
8	8	31	31	0.16666666666666666	3/4	3/4	Chord	4/4	2	1	1/24		1/16	2/3	170									24	
8	8	187/6	187/6	0.16666666666666666	19/24	19/24	Chord	4/4	2	1	1/24		1/16	2/3	171									24	
8	8	94/3	94/3	0.16666666666666666	5/6	5/6	Chord	4/4	2	1	1/24		1/16	2/3	172									24	
8	8	63/2	63/2	0.16666666666666666	7/8	7/8	Chord	4/4	2	1	1/24		1/16	2/3	173									24	
8	8	95/3	95/3	0.16666666666666666	11/12	11/12	Chord	4/4	2	1	1/24		1/16	2/3	174									24	
8	8	191/6	191/6	0.16666666666666666	23/24	23/24	Chord	4/4	2	1	1/24		1/16	2/3	175									24	
8	8	28	28	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	176			articAccentAbove							
8	8	29	29	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	177			articAccentAbove							
8	8	30	30	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	178										
8	8	61/2	61/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	179			articStaccatoBelow							
8	8	31	31	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	180			articStaccatoBelow							
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	181			articStaccatoBelow							
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	182	Und									
9	9	32	32	0.16666666666666666	0	0	Chord	4/4	2	1	1/24		1/16	2/3	183									24	
9	9	193/6	193/6	0.16666666666666666	1/24	1/24	Chord	4/4	2	1	1/24		1/16	2/3	184									24	
9	9	97/3	97/3	0.16666666666666666	1/12	1/12	Chord	4/4	2	1	1/24		1/16	2/3	185									24	
9	9	65/2	65/2	0.16666666666666666	1/8	1/8	Chord	4/4	2	1	1/24		1/16	2/3	186									24	
9	9	98/3	98/3	0.16666666666666666	1/6	1/6	Chord	4/4	2	1	1/24		1/16	2/3	187									24	
9	9	197/6	197/6	0.16666666666666666	5/24	5/24	Chord	4/4	2	1	1/24		1/16	2/3	188									24	
9	9	33	33	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	189			articStaccatissimoBelow							
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	190			articStaccatissimoAbove							
9	9	34	34	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	191										
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	192										
9	9	32	32	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	193			articStaccatoAbove							
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	194			articStaccatoAbove							
9	9	33	33	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	195			articStaccatissimoAbove							
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	196			articStaccatissimoAbove							
9	9	34	34	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	197										
9	9	71/2	71/2	0.0	7/8	7/8	Dynamic	4/4	3	1	0						ff								
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	198										
10	10	36	36	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	199	ro-									
10	10	147/4	147/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	200	-the									
10	10	37	37	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	201	Feu-									
10	10	149/4	149/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	202										
10	10	75/2	75/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	203	-er-									
10	10	151/4	151/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	204										
10	10	38	38	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	205	-flam-									
10	10	39	39	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	206	-men									
10	10	79/2	79/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	207	zieh'n									
10	10	159/4	159/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	208										
10	10	36	36	0.75	0	0	Chord	4/4	2	1	3/16		1/8	3/2	209										
10	10	147/4	147/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	210										
10	10	37	37	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	211										
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	212										
10	10	38	38	1.5	1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	213										
10	10	79/2	79/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	214										
10	10	159/4	159/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	215										
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	216										
10	10	36	36	0.75	0	0	Chord	4/4	3	1	3/16		1/8	3/2	217										
10	10	147/4	147/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16		1/16	1	218										
10	10	37	37	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	219										
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	220										
10	10	38	38	1.5	1/2	1/2	Chord	4/4	3	1	3/8		1/4	3/2	221										
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	222										
11	11	40	40	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	223	zwi-									
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	224	-schen									
11	11	41	41	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	225	ih-									
11	11	83/2	83/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	226	-nen									
11	11	167/4	167/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	227										
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	228	hin,									
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	229	das									
11	11	40	40	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	230										
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	231										
11	11	41	41	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	232										
11	11	83/2	83/2	0.0	3/8	3/8	Chord	4/4	2	1	0	grace16	1/16	1	233										
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	234										
11	11	42	42	0.75	1/2	1/2	Chord	4/4	2	1	3/16		1/8	3/2	235										
11	11	171/4	171/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	236										
11	11	43	43	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	237										
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	238										
11	11	40	40	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	239										
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	240										
11	11	41	41	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	241										
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	242										
11	11	42	42	0.75	1/2	1/2	Chord	4/4	3	1	3/16		1/8	3/2	243										
11	11	171/4	171/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16		1/16	1	244										
11	11	43	43	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	245										
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	246										
12	12	44	44	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	247	nenn'									
12	12	179/4	179/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	248	ich									
12	12	45	45	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	249	ei-									
12	12	181/4	181/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	250										
12	12	91/2	91/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	251	-nen									
12	12	183/4	183/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	252										
12	12	46	46	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	253	Mor-									
12	12	47	47	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	254	-gen									
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	255	so									
12	12	44	44	0.75	0	0	Chord	4/4	2	1	3/16		1/8	3/2	256										
12	12	179/4	179/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	257										
12	12	45	45	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	258										
