mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	diminuendo_line	decrescendo_hairpin	crescendo_hairpin
5	4	21/2	21/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	32			articStaccatoAbove										
5	4	11	11	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	33			articStaccatoAbove										
5	4	23/2	23/2	0.5	1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	34			articStaccatoAbove										
5	4	12	12	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	35			articStaccatoAbove										
6	5	15	15	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	36	Ein												
6	5	25/2	25/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	37													
6	5	27/2	27/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	38													
6	5	14	14	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	39													
6	5	15	15	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	40													
6	5	25/2	25/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	41			articStaccatoAbove										
6	5	13	13	0.5	1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	42			articStaccatoAbove										
6	5	27/2	27/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	43			articStaccatoAbove										
6	5	14	14	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	44			articAccentAbove										
7	6	31/2	31/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	45	Licht												
7	6	17	17	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	46													
7	6	18	18	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	47	tanzt												
7	6	31/2	31/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	48													
7	6	33/2	33/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	49													
7	6	17	17	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	50													
7	6	18	18	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	51													
7	6	31/2	31/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	52			articStaccatoAbove										
7	6	16	16	0.5	1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	53			articStaccatoAbove										
7	6	33/2	33/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	54			articStaccatoAbove										
7	6	17	17	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	55			articAccentAbove										
8	7	37/2	37/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	56	freund-												
8	7	39/2	39/2	0.0	1/4	1/4	Chord	6/8	1	1	0	grace16	1/16	1	57													
8	7	39/2	39/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	58	-lich												
8	7	20	20	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	59	vor												
8	7	41/2	41/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	60													
8	7	21	21	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	61	mir												
8	7	37/2	37/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	62													
8	7	39/2	39/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	63													
8	7	20	20	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	64													
8	7	21	21	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	65													
8	7	37/2	37/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	66													
8	7	19	19	0.5	1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	67													
8	7	39/2	39/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	68													
8	7	20	20	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	69			articAccentAbove										
9	8	43/2	43/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	70	her,								4				
9	8	23	23	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	71													
9	8	43/2	43/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	72													
9	8	45/2	45/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	73													
9	8	23	23	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	74													
9	8	24	24	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	75													
9	8	43/2	43/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	76													
9	8	22	22	0.5	1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	77													
9	8	45/2	45/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	78													
9	8	23	23	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	79			articAccentAbove										
10	9	27	27	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	80	ich												
10	9	49/2	49/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	81			articAccentAbove										
10	9	51/2	51/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	82													
10	9	26	26	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	83													
10	9	27	27	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	84													
10	9	49/2	49/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	85													
10	9	25	25	0.5	1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	86													
10	9	51/2	51/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	87													
10	9	26	26	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	88			articAccentAbove										
10	9	27	27	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	89													
11	10	55/2	55/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	90	folg'												
11	10	29	29	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	91													
11	10	30	30	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	92	ihm												
11	10	55/2	55/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	93													
11	10	57/2	57/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	94													
11	10	29	29	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	95													
11	10	30	30	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	96													
11	10	55/2	55/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	97													
11	10	28	28	0.5	1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	98													
11	10	57/2	57/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	99													
11	10	29	29	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	100													
12	11	61/2	61/2	0.0	0	0	Chord	6/8	1	1	0	grace16	1/16	1	101													
12	11	61/2	61/2	0.0	0	0	Chord	6/8	1	1	0	grace16	1/16	1	102													
12	11	61/2	61/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	103	nach												
12	11	31	31	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	104													
12	11	63/2	63/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	105	die												
12	11	32	32	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	106	Kreuz												
12	11	33	33	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	107	und												
12	11	61/2	61/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	108													
12	11	63/2	63/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	109													
12	11	32	32	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	110													
12	11	33	33	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	111													
12	11	61/2	61/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	112			articStaccatoBelow										
12	11	31	31	0.5	1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	113			articStaccatoBelow										
12	11	63/2	63/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	114			articStaccatoBelow										
12	11	32	32	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	115			articStaccatoBelow										
12	11	65/2	65/2	0.5	1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	116			articStaccatoBelow										
12	11	33	33	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	117			articStaccatoBelow										
13	12	67/2	67/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	118	Quer;												
13	12	67/2	67/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	119									5				
13	12	34	34	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	120									5				
13	12	69/2	69/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	121													
13	12	35	35	0.0	3/8	3/8	Spanner	6/8	2	1	0																0	
13	12	35	35	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	122									6			0	
13	12	36	36	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	123												0	
13	12	67/2	67/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	124			articStaccatoAbove										
13	12	34	34	0.5	1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	125			articStaccatoAbove										
13	12	69/2	69/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	126			articStaccatoAbove										
13	12	35	35	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	127			articStaccatoBelow										
13	12	71/2	71/2	0.5	1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	128			articStaccatoBelow										
13	12	36	36	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	129			articStaccatoBelow										
14	13	39	39	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	130	ich												
14	13	73/2	73/2	0.0	0	0	Spanner	6/8	2	1	0																	
14	13	73/2	73/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	131													
14	13	75/2	75/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	132													
14	13	38	38	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	133													
14	13	39	39	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	134													
14	13	73/2	73/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	135			articStaccatoAbove										
14	13	37	37	0.5	1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	136			articStaccatoAbove										
14	13	75/2	75/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	137			articStaccatoAbove										
14	13	38	38	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	138			articAccentAbove										
15	14	79/2	79/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	139	folg'												
15	14	41	41	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	140													
15	14	42	42	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	141	ihm												
15	14	79/2	79/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	142													
15	14	81/2	81/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	143													
15	14	41	41	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	144													
15	14	42	42	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	145													
15	14	79/2	79/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	146			articStaccatoAbove										
15	14	40	40	0.5	1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	147			articStaccatoAbove										
15	14	81/2	81/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	148			articStaccatoAbove										
15	14	41	41	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	149			articAccentAbove										
16	15	85/2	85/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	150	gern,												
16	15	87/2	87/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	151	und												
16	15	44	44	0.0	3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	1	152													
16	15	44	44	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	153	seh's												
16	15	89/2	89/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	154													
16	15	45	45	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	155	ihm												
16	15	85/2	85/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	156													
16	15	87/2	87/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	157													
16	15	44	44	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	158													
16	15	45	45	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	159													
16	15	85/2	85/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	160			articStaccatoAbove										
16	15	43	43	0.5	1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	161			articStaccatoAbove										
16	15	87/2	87/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	162			articStaccatoAbove										
16	15	44	44	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	163			articAccentAbove										
17	16	91/2	91/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	164	an,								7				
17	16	47	47	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	165													
17	16	91/2	91/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	166													
17	16	93/2	93/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	167													
17	16	47	47	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	168													
17	16	48	48	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	169													
17	16	91/2	91/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	170			articStaccatoAbove										
17	16	46	46	0.5	1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	171			articStaccatoAbove										
17	16	93/2	93/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	172			articStaccatoAbove										
17	16	47	47	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	173			articAccentAbove										
18	17	51	51	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	174	dass												
18	17	97/2	97/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	175			articAccentAbove										
18	17	99/2	99/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	176													
18	17	50	50	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	177													
18	17	51	51	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	178													
18	17	97/2	97/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	179													
18	17	49	49	0.5	1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	180													
18	17	99/2	99/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	181													
18	17	50	50	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	182													
18	17	51	51	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	183			articAccentAbove										
19	18	103/2	103/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	184	es												
19	18	53	53	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	185													
19	18	54	54	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	186	ver-												
19	18	103/2	103/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	187													
19	18	105/2	105/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	188													
19	18	53	53	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	189													
19	18	54	54	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	190													
19	18	103/2	103/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	191													
19	18	52	52	0.5	1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	192													
19	18	105/2	105/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	193													
19	18	53	53	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	194													
20	19	109/2	109/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	195	-lockt												
20	19	55	55	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	196													
20	19	111/2	111/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	197	den												
20	19	56	56	0.0	3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	1	198													
20	19	56	56	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	199	Wan-												
20	19	57	57	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	200	-ders-												
20	19	109/2	109/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	201													
20	19	111/2	111/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	202													
20	19	56	56	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	203													
20	19	57	57	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	204													
20	19	109/2	109/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	205													
20	19	55	55	0.5	1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	206													
20	19	111/2	111/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	207													
20	19	56	56	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	208													
20	19	113/2	113/2	0.5	1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	209													
20	19	57	57	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	210													
21	20	115/2	115/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	211	-mann												
21	20	115/2	115/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	212									8				
21	20	58	58	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	213									8				
21	20	117/2	117/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	214													
21	20	59	59	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	215									9				
21	20	60	60	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	216													
21	20	115/2	115/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	217													
21	20	58	58	0.5	1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	218													
21	20	117/2	117/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	219													
21	20	59	59	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	220													
21	20	119/2	119/2	0.5	1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	221													
21	20	60	60	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	222													
22	21	121/2	121/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	223													
22	21	123/2	123/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	224													
22	21	62	62	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	225													
22	21	63	63	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	226													
22	21	121/2	121/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	227													
22	21	61	61	0.5	1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	228													
22	21	123/2	123/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	229													
22	21	62	62	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	230													
23	22	127/2	127/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	231	Ach!												
23	22	131/2	131/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	232	wer												
23	22	66	66	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	233	wie												
23	22	127/2	127/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	234													
23	22	129/2	129/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	235													
23	22	65	65	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	236													
23	22	66	66	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	237													
23	22	127/2	127/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	238													
23	22	64	64	0.5	1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	239													
23	22	129/2	129/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	240													
23	22	65	65	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	241													
24	23	133/2	133/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	242	ich												
24	23	135/2	135/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	243	so												
24	23	68	68	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	244	e-												
24	23	69	69	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	245	-lend												
24	23	133/2	133/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	246													
24	23	135/2	135/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	247													
24	23	68	68	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	248													
24	23	69	69	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	249													
24	23	133/2	133/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	250													
24	23	67	67	0.5	1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	251													
24	23	135/2	135/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	252													
24	23	68	68	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	253													
25	24	139/2	139/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	254	ist												
25	24	72	72	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	255	giebt												
25	24	139/2	139/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	256													
25	24	141/2	141/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	257													
25	24	71	71	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	258									10				
25	24	143/2	143/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	259									10				
25	24	72	72	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	260													
25	24	139/2	139/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	261			articStaccatoBelow										
25	24	70	70	0.5	1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	262			articStaccatoBelow										
25	24	141/2	141/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	263			articStaccatoBelow										
25	24	71	71	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	264			articAccentAbove										
26	25	145/2	145/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	265	gern								11				
26	25	147/2	147/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	266													
26	25	75	75	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	267	sich												
26	25	145/2	145/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	268													
26	25	147/2	147/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	269													
26	25	74	74	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	270									12				
26	25	149/2	149/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	271									12				
