mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	diminuendo_line	crescendo_line
3	2	5/2	5/2	1.5	0	0	Chord	2/4	3	2	3/8		1/4	3/2	18														
4	3	9/2	9/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	19				articStaccatoBelow						6				
4	3	5	5	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	20				articStaccatoBelow						6				
4	3	11/2	11/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	21				articStaccatoBelow						6				
4	3	6	6	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	22				articStaccatoBelow										
4	3	9/2	9/2	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	23														
4	3	5	5	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	24														
4	3	11/2	11/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	25														
4	3	6	6	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	26														
5	4	13/2	13/2	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	27										7				
5	4	13/2	13/2	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	28														
5	4	7	7	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	29														
5	4	29/4	29/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	30														
5	4	15/2	15/2	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	31														
5	4	13/2	13/2	2.0	0	0	Chord	2/4	2	3	1/2		1/2	1	32														
5	4	13/2	13/2	2.0	0	0	Chord	2/4	3	1	1/2		1/2	1	33										8				
6	5	10	10	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	34	Was													
6	5	41/4	41/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	35	ver-													
6	5	17/2	17/2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	36														
6	5	10	10	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	37														
6	5	41/4	41/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	38														
6	5	17/2	17/2	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	39														
7	6	21/2	21/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	40	-meid'													
7	6	11	11	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	41	ich													
7	6	23/2	23/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	42	denn													
7	6	12	12	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	43	die													
7	6	21/2	21/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	44				articStaccatoBelow						9				
7	6	11	11	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	45				articStaccatoBelow						9				
7	6	23/2	23/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	46				articStaccatoBelow						9				
7	6	12	12	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	47				articStaccatoBelow										
7	6	12	12	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	48										10				
7	6	49/4	49/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	49										10				
8	7	25/2	25/2	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	50	We-													
8	7	27/2	27/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	51	-ge,													
8	7	14	14	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	52	wo													
8	7	57/4	57/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	53	die													
8	7	25/2	25/2	1.5	0	0	Chord	2/4	2	1	3/8		1/4	3/2	54														
8	7	14	14	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	55														
8	7	57/4	57/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	56														
8	7	14	14	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	57														
8	7	25/2	25/2	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	58				articStaccatoAbove						10				
8	7	13	13	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	59				articStaccatoAbove						10				
8	7	27/2	27/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	60				articStaccatoAbove						10				
8	7	14	14	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	61				articStaccatoAbove										
9	8	29/2	29/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	62	-an-													
9	8	15	15	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	63	-dern													
9	8	31/2	31/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	64	Wan-													
9	8	16	16	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	65	-drer													
9	8	29/2	29/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	66										11				
9	8	15	15	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	67										11				
9	8	31/2	31/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	68										11				
9	8	16	16	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	69														
9	8	29/2	29/2	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	70										12				
9	8	31/2	31/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	71										12				
9	8	16	16	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	72										12				
9	8	65/4	65/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	73														
10	9	33/2	33/2	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	74	gehn,													
10	9	33/2	33/2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	75														
10	9	35/2	35/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	76										13				
10	9	71/4	71/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	77										13				
10	9	18	18	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	78										13				
10	9	73/4	73/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	79														
10	9	33/2	33/2	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	80										14				
10	9	17	17	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	81										14				
10	9	35/2	35/2	0.25	1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	82										14				
10	9	71/4	71/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	83										14				
10	9	18	18	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	84										14				
10	9	73/4	73/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	85														
11	10	20	20	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	86	su-													
11	10	81/4	81/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	87	-che													
11	10	37/2	37/2	0.0	0	0	Spanner	2/4	2	1	0																0		
11	10	37/2	37/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	88												0		
11	10	19	19	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	89												0		
11	10	39/2	39/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	90												0		
11	10	20	20	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	91												0		
11	10	37/2	37/2	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	92														
11	10	20	20	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	93														
12	11	41/2	41/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	94	mir													
12	11	21	21	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	95	ver-													
12	11	43/2	43/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	96	-steck-													
12	11	22	22	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	97	-te													
12	11	41/2	41/2	0.0	0	0	Spanner	2/4	2	1	0																		
12	11	41/2	41/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	98														
12	11	21	21	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	99														
12	11	43/2	43/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	100														
12	11	22	22	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	101														
12	11	41/2	41/2	1.5	0	0	Chord	2/4	3	1	3/8		1/4	3/2	102														
12	11	22	22	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	103														
13	12	45/2	45/2	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	104	Ste-													
13	12	47/2	47/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	105	-ge													
13	12	24	24	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	106	durch													
13	12	97/4	97/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	107	ver-													
13	12	45/2	45/2	1.5	0	0	Chord	2/4	2	1	3/8		1/4	3/2	108														
13	12	24	24	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	109														
13	12	45/2	45/2	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	110														
13	12	23	23	0.0	1/8	1/8	Chord	2/4	3	1	0	grace32	1/32	1	111														
13	12	23	23	0.0	1/8	1/8	Chord	2/4	3	1	0	grace32	1/32	1	112														
13	12	23	23	0.0	1/8	1/8	Chord	2/4	3	1	0	grace32	1/32	1	113														
13	12	23	23	0.375	1/8	1/8	Chord	2/4	3	1	3/32		1/16	3/2	114				articAccentAbove						15				
13	12	187/8	187/8	0.125	7/32	7/32	Chord	2/4	3	1	1/32		1/32	1	115														
13	12	47/2	47/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	116										16				
13	12	24	24	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	117														
14	13	49/2	49/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	118	-schnei-													
14	13	25	25	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	119	-te													
14	13	51/2	51/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	120	Fel-													
14	13	26	26	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	121	-sen-													
14	13	49/2	49/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	122														
14	13	25	25	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	123														
14	13	51/2	51/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	124														
14	13	26	26	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	125														
14	13	49/2	49/2	1.5	0	0	Chord	2/4	3	1	3/8		1/4	3/2	126														
14	13	26	26	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	127														
15	14	53/2	53/2	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	128	-höhn?			articAccentAbove						17				
15	14	55/2	55/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	129														
15	14	28	28	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	130	su-													
15	14	113/4	113/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	131	-che													
15	14	53/2	53/2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	132														
15	14	55/2	55/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	133														
15	14	28	28	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	134														
15	14	53/2	53/2	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	135														
15	14	27	27	0.0	1/8	1/8	Chord	2/4	3	1	0	grace32	1/32	1	136														
15	14	27	27	0.0	1/8	1/8	Chord	2/4	3	1	0	grace32	1/32	1	137														
15	14	27	27	0.0	1/8	1/8	Chord	2/4	3	1	0	grace32	1/32	1	138														
15	14	27	27	0.375	1/8	1/8	Chord	2/4	3	1	3/32		1/16	3/2	139				articAccentBelow						18				
15	14	219/8	219/8	0.125	7/32	7/32	Chord	2/4	3	1	1/32		1/32	1	140														
15	14	55/2	55/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	141										19				
15	14	28	28	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	142														
16	15	57/2	57/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	143	mir													
16	15	29	29	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	144	ver-													
16	15	59/2	59/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	145	-steck-									20				
16	15	119/4	119/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	146														
16	15	30	30	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	147	-te									21				
16	15	121/4	121/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	148														
16	15	57/2	57/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	149														
16	15	29	29	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	150														
16	15	59/2	59/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	151														
16	15	30	30	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	152														
16	15	57/2	57/2	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	153														
16	15	29	29	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	154														
16	15	59/2	59/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	155														
16	15	30	30	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	156														
17	16	61/2	61/2	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	157	Ste-													
17	16	63/2	63/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	158	-ge													
17	16	32	32	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	159	durch													
17	16	129/4	129/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	160	ver-													
17	16	61/2	61/2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	161										22				
17	16	63/2	63/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	162														
17	16	32	32	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	163														
17	16	61/2	61/2	0.375	0	0	Chord	2/4	3	1	3/32		1/16	3/2	164														
17	16	247/8	247/8	0.125	3/32	3/32	Chord	2/4	3	1	1/32		1/32	1	165														
17	16	31	31	0.375	1/8	1/8	Chord	2/4	3	1	3/32		1/16	3/2	166														
17	16	251/8	251/8	0.125	7/32	7/32	Chord	2/4	3	1	1/32		1/32	1	167														
17	16	63/2	63/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	168														
17	16	32	32	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	169														
18	17	65/2	65/2	0.375	0	0	Chord	2/4	1	1	3/32		1/16	3/2	170	-schnei-									23				
18	17	263/8	263/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	171														
18	17	33	33	0.375	1/8	1/8	Chord	2/4	1	1	3/32		1/16	3/2	172	-te									24				
18	17	267/8	267/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	173														
18	17	67/2	67/2	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	174	Fel-													
18	17	137/4	137/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	175	-sen-													
18	17	65/2	65/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	176														
18	17	33	33	0.0	1/8	1/8	Spanner	2/4	2	1	0																		0
18	17	33	33	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	177														0
18	17	67/2	67/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	178														0
18	17	34	34	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	179														0
18	17	65/2	65/2	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	180														
18	17	33	33	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	181														
18	17	67/2	67/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	182														
18	17	34	34	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	183														
19	18	69/2	69/2	0.375	0	0	Chord	2/4	1	1	3/32		1/16	3/2	184	-höhn,-									25				
19	18	279/8	279/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	185														
19	18	35	35	0.375	1/8	1/8	Chord	2/4	1	1	3/32		1/16	3/2	186	-durch									26				
19	18	283/8	283/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	187														
19	18	71/2	71/2	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	188	-Fel-													
19	18	145/4	145/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	189	-sen-													
19	18	69/2	69/2	0.0	0	0	Spanner	2/4	2	1	0																		
19	18	69/2	69/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	190														
19	18	35	35	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	191														
19	18	71/2	71/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	192														
19	18	36	36	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	193														
19	18	69/2	69/2	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	194														
19	18	35	35	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	195														
19	18	71/2	71/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	196														
19	18	36	36	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	197														
20	19	73/2	73/2	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	198	-höhn?													
20	19	73/2	73/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	199														
20	19	37	37	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	200														
20	19	75/2	75/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	201														
20	19	38	38	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	202														
20	19	73/2	73/2	0.0	0	0	Dynamic	2/4	3	1	0							p											
20	19	73/2	73/2	0.375	0	0	Chord	2/4	3	1	3/32		1/16	3/2	203														
20	19	295/8	295/8	0.125	3/32	3/32	Chord	2/4	3	1	1/32		1/32	1	204														
20	19	37	37	0.375	1/8	1/8	Chord	2/4	3	1	3/32		1/16	3/2	205														
20	19	299/8	299/8	0.125	7/32	7/32	Chord	2/4	3	1	1/32		1/32	1	206														
20	19	75/2	75/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	207														
20	19	38	38	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	208														
21	20	77/2	77/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	209				articStaccatoAbove						27				
21	20	39	39	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	210				articStaccatoAbove						27				
21	20	79/2	79/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	211				articStaccatoAbove						27				
21	20	40	40	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	212				articStaccatoAbove										
21	20	77/2	77/2	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	213														
21	20	77/2	77/2	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	214														
22	21	42	42	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	215	Ha-													
22	21	169/4	169/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	216	-be													
22	21	81/2	81/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	217				articStaccatoBelow						28				
22	21	41	41	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	218				articStaccatoBelow						28				
22	21	83/2	83/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	219				articStaccatoBelow										
22	21	42	42	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	220										29				
22	21	169/4	169/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	221														
22	21	42	42	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	222										30				
22	21	169/4	169/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	223														
23	22	85/2	85/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	224	ja													
23	22	43	43	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	225	doch													
23	22	87/2	87/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	226	nichts													
23	22	44	44	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	227	be-													
23	22	85/2	85/2	0.0	0	0	Dynamic	2/4	2	1	0							pp											
23	22	85/2	85/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	228				articStaccatoBelow						31				
23	22	43	43	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	229				articStaccatoBelow						31				
23	22	87/2	87/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	230				articStaccatoBelow						31				
23	22	44	44	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	231				articStaccatoBelow										
23	22	85/2	85/2	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	232				articStaccatoAbove						32				
23	22	43	43	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	233				articStaccatoAbove						32				
23	22	87/2	87/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	234				articStaccatoAbove						32				
23	22	44	44	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	235				articStaccatoAbove										
24	23	89/2	89/2	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	236	-gan-													
24	23	91/2	91/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	237	-gen,													
24	23	46	46	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	238	dass													
24	23	185/4	185/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	239	ich													
24	23	89/2	89/2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	240										33				
24	23	91/2	91/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	241														
24	23	46	46	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	242														
24	23	185/4	185/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	243														
24	23	46	46	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	244										34				
24	23	89/2	89/2	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	245										35				
24	23	91/2	91/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	246														
24	23	46	46	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	247														
24	23	185/4	185/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	248														
24	23	46	46	0.5	3/8	3/8	Chord	2/4	3	2	1/8		1/8	1	249														
25	24	93/2	93/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	250	Men-													
25	24	47	47	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	251	-schen													
25	24	95/2	95/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	252	soll-													
25	24	48	48	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	253	-te													
25	24	93/2	93/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	254										36				
25	24	47	47	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	255										36				
25	24	95/2	95/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	256										36				
25	24	48	48	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	257														
25	24	93/2	93/2	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	258										37				
25	24	47	47	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	259										37				
25	24	95/2	95/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	260										37				
25	24	48	48	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	261														
26	25	97/2	97/2	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	262	scheun,													
26	25	50	50	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	263	dass													
26	25	201/4	201/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	264	ich													
26	25	97/2	97/2	1.5	0	0	Chord	2/4	2	1	3/8		1/4	3/2	265														
26	25	50	50	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	266										38				
26	25	201/4	201/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	267										38				
26	25	97/2	97/2	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	268										39				
