mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Ottava:8va
31	31	243/4	243/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	275	-tig										
31	31	61	61	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	276	in										
31	31	123/2	123/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	277	die										
31	31	247/4	247/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	278											
31	31	60	60	0.0	0	0	Dynamic	2/4	2	1	0						mf								
31	31	60	60	0.75	0	0	Chord	2/4	2	1	3/16	1/8	3/2	279											
31	31	243/4	243/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	280											
31	31	61	61	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	281											
31	31	123/2	123/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	282				articStaccatoBelow							
31	31	60	60	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	283											
31	31	123/2	123/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	284				articStaccatoAbove							
32	32	62	62	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	285	Welt										
32	32	125/2	125/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	286	hin-										
32	32	63	63	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	287	-ein										
32	32	62	62	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	288											
32	32	125/2	125/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	289											
32	32	63	63	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	290											
32	32	62	62	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	291				articStaccatoBelow							
32	32	125/2	125/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8	1/8	1	292				articStaccatoBelow							
32	32	63	63	1.0	1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	293											
32	32	62	62	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	294				articStaccatoAbove							
32	32	125/2	125/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	295				articStaccatoAbove							
32	32	63	63	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	296											
33	33	64	64	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	297	ge-										
33	33	259/4	259/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	298	-gen										
33	33	65	65	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	299	Wind										
33	33	261/4	261/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	300											
33	33	131/2	131/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	301	und										
33	33	263/4	263/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	302											
33	33	64	64	0.75	0	0	Chord	2/4	2	1	3/16	1/8	3/2	303											
33	33	259/4	259/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	304											
33	33	65	65	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	305											
33	33	131/2	131/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	306											
33	33	64	64	0.75	0	0	Chord	2/4	3	1	3/16	1/8	3/2	307											
33	33	259/4	259/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16	1/16	1	308											
33	33	65	65	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	309											
33	33	131/2	131/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	310											
34	34	66	66	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	311	Wet-										
34	34	67	67	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	312	-ter!										
34	34	66	66	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	313											
34	34	67	67	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	314											
34	34	66	66	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	315											
34	34	67	67	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	316											
35	35	68	68	0.0	0	0	Spanner	2/4	2	1	0														0
35	35	68	68	0.75	0	0	Chord	2/4	2	1	3/16	1/8	3/2	317											0
35	35	275/4	275/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	318											0
35	35	69	69	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	319											0
35	35	139/2	139/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	320											0
35	35	279/4	279/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	321											0
35	35	68	68	0.0	0	0	Dynamic	2/4	3	1	0						f								
35	35	68	68	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	322											
35	35	69	69	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	323											
35	35	139/2	139/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	324											
36	36	70	70	0.0	0	0	Spanner	2/4	2	1	0														
36	36	70	70	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	325											
36	36	71	71	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	326											
36	36	70	70	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	327											
36	36	71	71	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	328											
37	37	72	72	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	329	will										
37	37	291/4	291/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	330	kein										
37	37	73	73	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	331	Gott										
37	37	147/2	147/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	332	auf										
37	37	295/4	295/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	333											
37	37	72	72	0.75	0	0	Chord	2/4	2	1	3/16	1/8	3/2	334											
37	37	291/4	291/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	335											
37	37	73	73	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	336											
37	37	147/2	147/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	337				articStaccatoBelow							
37	37	72	72	0.0	0	0	Dynamic	2/4	3	1	0						mf								
37	37	72	72	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	338											
37	37	147/2	147/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	339				articStaccatoAbove							
38	38	74	74	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	340	Er-										
38	38	149/2	149/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	341	-den										
38	38	75	75	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	342	sein,										
38	38	74	74	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	343											
38	38	149/2	149/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	344											
38	38	75	75	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	345											
38	38	74	74	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	346				articStaccatoBelow							
38	38	149/2	149/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8	1/8	1	347				articStaccatoBelow							
38	38	75	75	1.0	1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	348											
38	38	74	74	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	349				articStaccatoAbove							
38	38	149/2	149/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	350				articStaccatoAbove							
38	38	75	75	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	351											
39	39	76	76	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	352	sind										
39	39	153/2	153/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	353	wir										
39	39	307/4	307/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	354											
39	39	77	77	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	355	sel-										
39	39	309/4	309/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	356											
39	39	155/2	155/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	357	-ber										
39	39	311/4	311/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	358											
39	39	76	76	0.75	0	0	Chord	2/4	2	1	3/16	1/8	3/2	359											
39	39	307/4	307/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	360											
39	39	77	77	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	361											
39	39	155/2	155/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	362											
39	39	76	76	0.75	0	0	Chord	2/4	3	1	3/16	1/8	3/2	363											
39	39	307/4	307/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16	1/16	1	364											
39	39	77	77	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	365											
39	39	155/2	155/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	366											
40	40	78	78	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	367	Göt-										
40	40	79	79	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	368	-ter!										
40	40	78	78	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	369											
40	40	79	79	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	370											
40	40	78	78	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	371											
40	40	79	79	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	372											
41	41	80	80	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	373											
41	41	161/2	161/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	374											
41	41	323/4	323/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	375											
41	41	81	81	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	376											
41	41	325/4	325/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	377											
41	41	163/2	163/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	378											
41	41	327/4	327/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	379											
41	41	80	80	0.0	0	0	Dynamic	2/4	3	1	0						f								
41	41	80	80	0.75	0	0	Chord	2/4	3	1	3/16	1/8	3/2	380											
41	41	323/4	323/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16	1/16	1	381											
41	41	81	81	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	382											
41	41	163/2	163/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	383											
42	42	82	82	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	384											
42	42	83	83	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	385											
42	42	82	82	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	386											
42	42	83	83	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	387											
43	43	84	84	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	388											
43	43	169/2	169/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	389										13	
43	43	339/4	339/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	390										13	
43	43	85	85	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	391				articAccentAbove							
43	43	84	84	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	392				articStaccatoBelow							
43	43	171/2	171/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	393				articStaccatoBelow							
43	43	84	84	0.0	0	0	Dynamic	2/4	3	1	0						f								
43	43	84	84	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	394				articStaccatoBelow							
43	43	169/2	169/2	0.25	1/8	1/8	Chord	2/4	3	1	1/16	1/16	1	395										14	
43	43	339/4	339/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16	1/16	1	396										14	
43	43	85	85	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	397											
43	43	171/2	171/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	398				articStaccatoAbove							
44	44	86	86	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	399											
44	44	173/2	173/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	400										15	
44	44	347/4	347/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	401										15	
44	44	87	87	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	402				articAccentAbove							
44	44	86	86	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	403				articStaccatoBelow							
44	44	175/2	175/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	404				articStaccatoBelow							
44	44	86	86	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	405				articStaccatoAbove							
44	44	173/2	173/2	0.25	1/8	1/8	Chord	2/4	3	1	1/16	1/16	1	406										16	
44	44	347/4	347/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16	1/16	1	407										16	
44	44	87	87	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	408											
44	44	175/2	175/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	409				articStaccatoAbove							
45	45	88	88	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	410											
45	45	177/2	177/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	411											
45	45	355/4	355/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	412											
45	45	89	89	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	413											
45	45	179/2	179/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	414											
45	45	88	88	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	415				articStaccatoAbove							
45	45	177/2	177/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	416				articStaccatoAbove							
45	45	89	89	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	417				articStaccatoAbove							
45	45	179/2	179/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	418				articStaccatoBelow							
46	46	90	90	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	419				articAccentAbove							
46	46	91	91	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	420				articAccentAbove							
46	46	90	90	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	421											
46	46	91	91	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	422											
