mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
3	3	7/2	7/2	0.5	1/8	1/8	Chord	3/8	2	2	1/8		1/8	1	18											
3	3	4	4	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	19											
3	3	3	3	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	20											
3	3	7/2	7/2	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	21											
3	3	4	4	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	22											
4	4	9/2	9/2	0.375	0	0	Chord	3/8	2	1	3/32		1/16	3/2	23											
4	4	39/8	39/8	0.125	3/32	3/32	Chord	3/8	2	1	1/32		1/32	1	24									7		
4	4	5	5	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	25											
4	4	9/2	9/2	0.375	0	0	Chord	3/8	3	1	3/32		1/16	3/2	26											
4	4	39/8	39/8	0.125	3/32	3/32	Chord	3/8	3	1	1/32		1/32	1	27											
4	4	5	5	1.0	1/8	1/8	Chord	3/8	3	1	1/4		1/4	1	28											
5	5	6	6	0.375	0	0	Chord	3/8	1	1	3/32		1/16	3/2	29	In										
5	5	51/8	51/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32		1/32	1	30	die										
5	5	13/2	13/2	0.75	1/8	1/8	Chord	3/8	1	1	3/16		1/8	3/2	31	tief-										
5	5	29/4	29/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	32	-sten										
5	5	6	6	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	33									8		
5	5	13/2	13/2	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	34											
5	5	6	6	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	35			articAccentAbove						9		
5	5	13/2	13/2	1.0	1/8	1/8	Chord	3/8	3	1	1/4		1/4	1	36											
6	6	15/2	15/2	0.375	0	0	Chord	3/8	1	1	3/32		1/16	3/2	37	Fel-										
6	6	63/8	63/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32		1/32	1	38	-sen-										
6	6	8	8	0.75	1/8	1/8	Chord	3/8	1	1	3/16		1/8	3/2	39	-grün-										
6	6	35/4	35/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	40	-de										
6	6	15/2	15/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	41			articAccentBelow						10		
6	6	8	8	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	42											
6	6	15/2	15/2	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	43									11		
6	6	8	8	1.0	1/8	1/8	Chord	3/8	3	1	1/4		1/4	1	44											
7	7	9	9	0.375	0	0	Chord	3/8	1	1	3/32		1/16	3/2	45	lock-										
7	7	75/8	75/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32		1/32	1	46	-te										
7	7	19/2	19/2	0.375	1/8	1/8	Chord	3/8	1	1	3/32		1/16	3/2	47	mich										
7	7	79/8	79/8	0.125	7/32	7/32	Chord	3/8	1	1	1/32		1/32	1	48	ein										
7	7	10	10	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	49	Irr-										
7	7	61/6	61/6	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	50											
7	7	31/3	31/3	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	51	-licht										
7	7	9	9	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	52			articStaccatoAbove						12		
7	7	55/6	55/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	53			articStaccatoAbove						12		
7	7	28/3	28/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	54			articStaccatoAbove								
7	7	19/2	19/2	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	55			articStaccatoAbove						13		
7	7	29/3	29/3	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	56			articStaccatoAbove						13		
7	7	59/6	59/6	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	57			articStaccatoAbove								
7	7	10	10	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	58			articStaccatoAbove						14		
7	7	61/6	61/6	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	59			articStaccatoAbove						14		
7	7	31/3	31/3	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	60			articStaccatoAbove								
7	7	9	9	0.5	0	0	Chord	3/8	2	2	1/8		1/8	1	61											
7	7	19/2	19/2	0.5	1/8	1/8	Chord	3/8	2	2	1/8		1/8	1	62											
7	7	10	10	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	63											
7	7	9	9	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	64											
7	7	19/2	19/2	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	65											
7	7	10	10	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	66											
8	8	21/2	21/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	67	hin										
8	8	21/2	21/2	0.375	0	0	Chord	3/8	2	1	3/32		1/16	3/2	68											
8	8	87/8	87/8	0.125	3/32	3/32	Chord	3/8	2	1	1/32		1/32	1	69									15		
8	8	11	11	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	70											
8	8	21/2	21/2	0.375	0	0	Chord	3/8	3	1	3/32		1/16	3/2	71											
8	8	87/8	87/8	0.125	3/32	3/32	Chord	3/8	3	1	1/32		1/32	1	72									16		
8	8	11	11	1.0	1/8	1/8	Chord	3/8	3	1	1/4		1/4	1	73											
9	9	12	12	0.75	0	0	Chord	3/8	1	1	3/16		1/8	3/2	74	Wie										
9	9	51/4	51/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	75	ich										
9	9	13	13	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	76	ei-										
9	9	53/4	53/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	77	-nen										
9	9	99/8	99/8	0.125	3/32	3/32	Chord	3/8	2	1	1/32		1/32	1	78											
9	9	25/2	25/2	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	79											
9	9	99/8	99/8	0.125	3/32	3/32	Chord	3/8	3	1	1/32		1/32	1	80											
9	9	25/2	25/2	1.0	1/8	1/8	Chord	3/8	3	1	1/4		1/4	1	81											
9	9	12	12	1.5	0	0	Chord	3/8	3	2	3/8		1/4	3/2	82											
10	10	27/2	27/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	83	Aus-										
10	10	55/4	55/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	84	-gang										
10	10	14	14	0.0	1/8	1/8	Chord	3/8	1	1	0	grace16	1/16	1	85											
10	10	14	14	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	86	fin-										
10	10	29/2	29/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	87	-de,										
10	10	111/8	111/8	0.125	3/32	3/32	Chord	3/8	2	1	1/32		1/32	1	88									17		
10	10	14	14	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	89											
10	10	111/8	111/8	0.125	3/32	3/32	Chord	3/8	3	1	1/32		1/32	1	90									18		
10	10	14	14	1.0	1/8	1/8	Chord	3/8	3	1	1/4		1/4	1	91			articAccentAbove								
10	10	27/2	27/2	1.5	0	0	Chord	3/8	3	2	3/8		1/4	3/2	92											
11	11	15	15	0.375	0	0	Chord	3/8	1	1	3/32		1/16	3/2	93	liegt										
11	11	123/8	123/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32		1/32	1	94	nicht										
11	11	31/2	31/2	0.375	1/8	1/8	Chord	3/8	1	1	3/32		1/16	3/2	95	schwer										
11	11	127/8	127/8	0.125	7/32	7/32	Chord	3/8	1	1	1/32		1/32	1	96	mir										
11	11	16	16	0.375	1/4	1/4	Chord	3/8	1	1	3/32		1/16	3/2	97	in										
11	11	131/8	131/8	0.125	11/32	11/32	Chord	3/8	1	1	1/32		1/32	1	98	dem										
11	11	31/2	31/2	0.375	1/8	1/8	Chord	3/8	2	1	3/32		1/16	3/2	99											
11	11	127/8	127/8	0.125	7/32	7/32	Chord	3/8	2	1	1/32		1/32	1	100											
11	11	16	16	0.375	1/4	1/4	Chord	3/8	2	1	3/32		1/16	3/2	101											
11	11	131/8	131/8	0.125	11/32	11/32	Chord	3/8	2	1	1/32		1/32	1	102											
11	11	31/2	31/2	0.375	1/8	1/8	Chord	3/8	3	1	3/32		1/16	3/2	103											
11	11	127/8	127/8	0.125	7/32	7/32	Chord	3/8	3	1	1/32		1/32	1	104											
11	11	16	16	0.375	1/4	1/4	Chord	3/8	3	1	3/32		1/16	3/2	105											
11	11	131/8	131/8	0.125	11/32	11/32	Chord	3/8	3	1	1/32		1/32	1	106											
12	12	33/2	33/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	107	Sinn										
12	12	33/2	33/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	108											
12	12	33/2	33/2	1.0	0	0	Chord	3/8	3	1	1/4		1/4	1	109											
13	13	18	18	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	110	liegt										
13	13	145/8	145/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	111											
13	13	73/4	73/4	0.125	1/16	1/16	Chord	3/8	1	1	1/32		1/32	1	112	nicht										
13	13	147/8	147/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32		1/32	1	113											
13	13	37/2	37/2	0.125	1/8	1/8	Chord	3/8	1	1	1/32		1/32	1	114	schwer										
13	13	149/8	149/8	0.125	5/32	5/32	Chord	3/8	1	1	1/32		1/32	1	115											
13	13	75/4	75/4	0.125	3/16	3/16	Chord	3/8	1	1	1/32		1/32	1	116	mir										
13	13	151/8	151/8	0.125	7/32	7/32	Chord	3/8	1	1	1/32		1/32	1	117											
13	13	19	19	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	118	in										
13	13	115/6	115/6	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	119											
13	13	58/3	58/3	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	120	dem										
13	13	18	18	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	121									19		
13	13	73/4	73/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	122									19		
13	13	37/2	37/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	123									19		
13	13	75/4	75/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	124											
13	13	19	19	0.375	1/4	1/4	Chord	3/8	2	1	3/32		1/16	3/2	125											
13	13	155/8	155/8	0.125	11/32	11/32	Chord	3/8	2	1	1/32		1/32	1	126											
13	13	18	18	0.25	0	0	Chord	3/8	3	1	1/16		1/16	1	127											
13	13	73/4	73/4	0.25	1/16	1/16	Chord	3/8	3	1	1/16		1/16	1	128											
13	13	37/2	37/2	0.25	1/8	1/8	Chord	3/8	3	1	1/16		1/16	1	129											
13	13	75/4	75/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16		1/16	1	130											
13	13	19	19	0.375	1/4	1/4	Chord	3/8	3	1	3/32		1/16	3/2	131											
13	13	155/8	155/8	0.125	11/32	11/32	Chord	3/8	3	1	1/32		1/32	1	132											
14	14	39/2	39/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	133	Sinn.										
14	14	39/2	39/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	134											
14	14	39/2	39/2	1.0	0	0	Chord	3/8	3	1	1/4		1/4	1	135											
15	15	21	21	0.0	0	0	Spanner	3/8	2	1	0															0
15	15	21	21	0.0	0	0	Spanner	3/8	2	1	0															0, 1
15	15	21	21	0.125	0	0	Chord	3/8	2	1	1/32		1/32	1	136									20		0, 1
15	15	169/8	169/8	0.125	1/32	1/32	Chord	3/8	2	1	1/32		1/32	1	137											0, 1
15	15	85/4	85/4	0.125	1/16	1/16	Chord	3/8	2	1	1/32		1/32	1	138									21		0, 1
15	15	171/8	171/8	0.125	3/32	3/32	Chord	3/8	2	1	1/32		1/32	1	139											0, 1
15	15	43/2	43/2	0.125	1/8	1/8	Chord	3/8	2	1	1/32		1/32	1	140									22		0, 1
15	15	173/8	173/8	0.0	5/32	5/32	Spanner	3/8	2	1	0													22	0	0, 1
15	15	173/8	173/8	0.125	5/32	5/32	Chord	3/8	2	1	1/32		1/32	1	141									22	0	0, 1
15	15	87/4	87/4	0.125	3/16	3/16	Chord	3/8	2	1	1/32		1/32	1	142									22	0	0, 1
15	15	175/8	175/8	0.125	7/32	7/32	Chord	3/8	2	1	1/32		1/32	1	143										0	0, 1
15	15	22	22	0.375	1/4	1/4	Chord	3/8	2	1	3/32		1/16	3/2	144										0	0, 1
15	15	179/8	179/8	0.125	11/32	11/32	Chord	3/8	2	1	1/32		1/32	1	145										0	0, 1
15	15	21	21	0.25	0	0	Chord	3/8	3	1	1/16		1/16	1	146									23		
15	15	85/4	85/4	0.25	1/16	1/16	Chord	3/8	3	1	1/16		1/16	1	147									23		
15	15	43/2	43/2	0.25	1/8	1/8	Chord	3/8	3	1	1/16		1/16	1	148									23		
15	15	87/4	87/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16		1/16	1	149											
15	15	22	22	0.375	1/4	1/4	Chord	3/8	3	1	3/32		1/16	3/2	150											
15	15	179/8	179/8	0.125	11/32	11/32	Chord	3/8	3	1	1/32		1/32	1	151											
16	16	45/2	45/2	0.0	0	0	Spanner	3/8	2	1	0															
16	16	45/2	45/2	0.0	0	0	Spanner	3/8	2	1	0															
16	16	45/2	45/2	0.0	0	0	Spanner	3/8	2	1	0															
16	16	45/2	45/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	152											
16	16	45/2	45/2	1.0	0	0	Chord	3/8	3	1	1/4		1/4	1	153											
17	17	24	24	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	154	Bin										
17	17	193/8	193/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	155											
17	17	97/4	97/4	0.125	1/16	1/16	Chord	3/8	1	1	1/32		1/32	1	156	ge										
17	17	195/8	195/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32		1/32	1	157											
17	17	49/2	49/2	0.75	1/8	1/8	Chord	3/8	1	1	3/16		1/8	3/2	158	wohnt										
17	17	101/4	101/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	159	das										
17	17	24	24	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	160			articAccentAbove						24		
17	17	49/2	49/2	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	161											
17	17	24	24	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	162									25		
17	17	49/2	49/2	1.0	1/8	1/8	Chord	3/8	3	1	1/4		1/4	1	163											
18	18	51/2	51/2	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	164	ir										
18	18	205/8	205/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	165											
18	18	103/4	103/4	0.125	1/16	1/16	Chord	3/8	1	1	1/32		1/32	1	166	re										
18	18	207/8	207/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32		1/32	1	167											
18	18	26	26	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	168	Ge-										
18	18	53/2	53/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	169	-hen,										
18	18	51/2	51/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	170			articAccentBelow								
18	18	26	26	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	171											
18	18	51/2	51/2	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	172											
18	18	26	26	1.0	1/8	1/8	Chord	3/8	3	1	1/4		1/4	1	173											
19	19	27	27	0.375	0	0	Chord	3/8	1	1	3/32		1/16	3/2	174	'sführt										
19	19	219/8	219/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32		1/32	1	175	ja										
19	19	55/2	55/2	0.375	1/8	1/8	Chord	3/8	1	1	3/32		1/16	3/2	176	je-										
19	19	223/8	223/8	0.125	7/32	7/32	Chord	3/8	1	1	1/32		1/32	1	177	-der										
19	19	28	28	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	178	Weg										
19	19	169/6	169/6	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	179											
19	19	85/3	85/3	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	180	zum										
19	19	27	27	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	181			articStaccatoAbove						26		
19	19	163/6	163/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	182			articStaccatoAbove						26		
19	19	82/3	82/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	183			articStaccatoAbove								
19	19	55/2	55/2	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	184			articStaccatoAbove						27		
19	19	83/3	83/3	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	185			articStaccatoAbove						27		
19	19	167/6	167/6	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	186			articStaccatoAbove								
19	19	28	28	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	187			articStaccatoAbove						28		
19	19	169/6	169/6	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	188			articStaccatoAbove						28		
19	19	85/3	85/3	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	189			articStaccatoAbove								
19	19	27	27	0.5	0	0	Chord	3/8	2	2	1/8		1/8	1	190											
19	19	55/2	55/2	0.5	1/8	1/8	Chord	3/8	2	2	1/8		1/8	1	191											
19	19	28	28	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	192											
19	19	27	27	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	193											
19	19	55/2	55/2	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	194											
19	19	28	28	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	195											
20	20	57/2	57/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	196	Ziel:										
20	20	59/2	59/2	0.375	1/4	1/4	Chord	3/8	1	1	3/32		1/16	3/2	197	un-										
20	20	239/8	239/8	0.125	11/32	11/32	Chord	3/8	1	1	1/32		1/32	1	198	-sre										
20	20	57/2	57/2	0.375	0	0	Chord	3/8	2	1	3/32		1/16	3/2	199											
20	20	231/8	231/8	0.125	3/32	3/32	Chord	3/8	2	1	1/32		1/32	1	200									29		
20	20	29	29	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	201											
20	20	57/2	57/2	0.375	0	0	Chord	3/8	3	1	3/32		1/16	3/2	202											
20	20	231/8	231/8	0.125	3/32	3/32	Chord	3/8	3	1	1/32		1/32	1	203									30		
20	20	29	29	1.0	1/8	1/8	Chord	3/8	3	1	1/4		1/4	1	204											
21	21	30	30	0.75	0	0	Chord	3/8	1	1	3/16		1/8	3/2	205	Freu-										
21	21	123/4	123/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	206	-den,										
21	21	31	31	0.375	1/4	1/4	Chord	3/8	1	1	3/32		1/16	3/2	207	un-										
21	21	251/8	251/8	0.125	11/32	11/32	Chord	3/8	1	1	1/32		1/32	1	208	-sre										
21	21	243/8	243/8	0.125	3/32	3/32	Chord	3/8	2	1	1/32		1/32	1	209									31		
21	21	61/2	61/2	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	210			articAccentBelow								
21	21	243/8	243/8	0.125	3/32	3/32	Chord	3/8	3	1	1/32		1/32	1	211									32		
21	21	61/2	61/2	1.0	1/8	1/8	Chord	3/8	3	1	1/4		1/4	1	212											
21	21	30	30	1.5	0	0	Chord	3/8	3	2	3/8		1/4	3/2	213											
22	22	63/2	63/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	214	We-										
22	22	32	32	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	215	-hen-										
22	22	255/8	255/8	0.125	3/32	3/32	Chord	3/8	2	1	1/32		1/32	1	216									33		
22	22	32	32	1.0	1/8	1/8	Chord	3/8	2	1	1/4		1/4	1	217			articAccentBelow								
22	22	255/8	255/8	0.125	3/32	3/32	Chord	3/8	3	1	1/32		1/32	1	218									34		
22	22	32	32	1.0	1/8	1/8	Chord	3/8	3	1	1/4		1/4	1	219											
22	22	63/2	63/2	1.5	0	0	Chord	3/8	3	2	3/8		1/4	3/2	220											
23	23	33	33	0.375	0	0	Chord	3/8	1	1	3/32		1/16	3/2	221	al-										
23	23	267/8	267/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32		1/32	1	222	-les										
23	23	67/2	67/2	0.375	1/8	1/8	Chord	3/8	1	1	3/32		1/16	3/2	223	ei-										
23	23	271/8	271/8	0.125	7/32	7/32	Chord	3/8	1	1	1/32		1/32	1	224	-nes										
23	23	34	34	0.375	1/4	1/4	Chord	3/8	1	1	3/32		1/16	3/2	225	Irr-										
23	23	275/8	275/8	0.125	11/32	11/32	Chord	3/8	1	1	1/32		1/32	1	226	-lichts										
23	23	67/2	67/2	0.375	1/8	1/8	Chord	3/8	2	1	3/32		1/16	3/2	227											
23	23	271/8	271/8	0.125	7/32	7/32	Chord	3/8	2	1	1/32		1/32	1	228											
23	23	34	34	0.375	1/4	1/4	Chord	3/8	2	1	3/32		1/16	3/2	229											
23	23	275/8	275/8	0.125	11/32	11/32	Chord	3/8	2	1	1/32		1/32	1	230											
23	23	67/2	67/2	0.375	1/8	1/8	Chord	3/8	3	1	3/32		1/16	3/2	231											
23	23	271/8	271/8	0.125	7/32	7/32	Chord	3/8	3	1	1/32		1/32	1	232											
23	23	34	34	0.375	1/4	1/4	Chord	3/8	3	1	3/32		1/16	3/2	233											
23	23	275/8	275/8	0.125	11/32	11/32	Chord	3/8	3	1	1/32		1/32	1	234											
24	24	69/2	69/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	235	Spiel,										
24	24	69/2	69/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	236											
24	24	69/2	69/2	1.0	0	0	Chord	3/8	3	1	1/4		1/4	1	237											
25	25	36	36	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	238	al-										
25	25	289/8	289/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	239											
25	25	145/4	145/4	0.125	1/16	1/16	Chord	3/8	1	1	1/32		1/32	1	240	-les										
25	25	291/8	291/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32		1/32	1	241											
25	25	73/2	73/2	0.125	1/8	1/8	Chord	3/8	1	1	1/32		1/32	1	242	ei-										
25	25	293/8	293/8	0.125	5/32	5/32	Chord	3/8	1	1	1/32		1/32	1	243											
25	25	147/4	147/4	0.125	3/16	3/16	Chord	3/8	1	1	1/32		1/32	1	244	-nes										
25	25	295/8	295/8	0.125	7/32	7/32	Chord	3/8	1	1	1/32		1/32	1	245											
25	25	37	37	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	246	Irr-										
25	25	223/6	223/6	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	247	-lichts										
25	25	112/3	112/3	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	248											
25	25	36	36	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	249									35		
25	25	145/4	145/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	250									35		
25	25	73/2	73/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	251									35		
25	25	147/4	147/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	252											
25	25	37	37	0.375	1/4	1/4	Chord	3/8	2	1	3/32		1/16	3/2	253											
25	25	299/8	299/8	0.125	11/32	11/32	Chord	3/8	2	1	1/32		1/32	1	254											
25	25	36	36	0.25	0	0	Chord	3/8	3	1	1/16		1/16	1	255									36		
25	25	145/4	145/4	0.25	1/16	1/16	Chord	3/8	3	1	1/16		1/16	1	256									36		
25	25	73/2	73/2	0.25	1/8	1/8	Chord	3/8	3	1	1/16		1/16	1	257									36		
25	25	147/4	147/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16		1/16	1	258											
25	25	37	37	0.375	1/4	1/4	Chord	3/8	3	1	3/32		1/16	3/2	259											
25	25	299/8	299/8	0.125	11/32	11/32	Chord	3/8	3	1	1/32		1/32	1	260											
