mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	diminuendo_line	crescendo_line
1	1	2	2	0.25	1/2	1/2	Chord	12/8	3	1	1/16		1/16	1	15										0				
1	1	9/4	9/4	0.25	9/16	9/16	Chord	12/8	3	1	1/16		1/16	1	16										0				
1	1	5/2	5/2	0.25	5/8	5/8	Chord	12/8	3	1	1/16		1/16	1	17										0				
1	1	11/4	11/4	0.25	11/16	11/16	Chord	12/8	3	1	1/16		1/16	1	18														
1	1	3	3	0.0	3/4	3/4	Chord	12/8	3	1	0	grace32	1/32	1	19														
1	1	3	3	0.0	3/4	3/4	Chord	12/8	3	1	0	grace32	1/32	1	20														
1	1	3	3	0.5	3/4	3/4	Chord	12/8	3	1	1/8		1/8	1	21			articStaccatissimoAbove											
2	2	6	6	0.5	0	0	Chord	12/8	2	1	1/8		1/8	1	22														
2	2	13/2	13/2	0.5	1/8	1/8	Chord	12/8	2	1	1/8		1/8	1	23														
2	2	7	7	0.5	1/4	1/4	Chord	12/8	2	1	1/8		1/8	1	24														
2	2	15/2	15/2	0.5	3/8	3/8	Chord	12/8	2	1	1/8		1/8	1	25														
2	2	8	8	0.5	1/2	1/2	Chord	12/8	2	1	1/8		1/8	1	26														
2	2	17/2	17/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8		1/8	1	27														
2	2	9	9	0.5	3/4	3/4	Chord	12/8	2	1	1/8		1/8	1	28			articAccentBelow											
2	2	6	6	0.25	0	0	Chord	12/8	3	1	1/16		1/16	1	29										1				
2	2	25/4	25/4	0.25	1/16	1/16	Chord	12/8	3	1	1/16		1/16	1	30										1				
2	2	13/2	13/2	0.25	1/8	1/8	Chord	12/8	3	1	1/16		1/16	1	31										1				
2	2	27/4	27/4	0.25	3/16	3/16	Chord	12/8	3	1	1/16		1/16	1	32										1				
2	2	7	7	0.25	1/4	1/4	Chord	12/8	3	1	1/16		1/16	1	33										1				
2	2	29/4	29/4	0.25	5/16	5/16	Chord	12/8	3	1	1/16		1/16	1	34										1				
2	2	15/2	15/2	0.25	3/8	3/8	Chord	12/8	3	1	1/16		1/16	1	35										1				
2	2	31/4	31/4	0.25	7/16	7/16	Chord	12/8	3	1	1/16		1/16	1	36										1				
2	2	8	8	0.25	1/2	1/2	Chord	12/8	3	1	1/16		1/16	1	37										1				
2	2	33/4	33/4	0.25	9/16	9/16	Chord	12/8	3	1	1/16		1/16	1	38										1				
2	2	17/2	17/2	0.25	5/8	5/8	Chord	12/8	3	1	1/16		1/16	1	39										1				
2	2	35/4	35/4	0.25	11/16	11/16	Chord	12/8	3	1	1/16		1/16	1	40														
2	2	9	9	0.0	3/4	3/4	Chord	12/8	3	1	0	grace32	1/32	1	41														
2	2	9	9	0.0	3/4	3/4	Chord	12/8	3	1	0	grace32	1/32	1	42														
2	2	9	9	0.5	3/4	3/4	Chord	12/8	3	1	1/8		1/8	1	43			articStaccatissimoAbove											
3	3	12	12	0.0	0	0	Spanner	12/8	2	1	0																		0
3	3	12	12	0.5	0	0	Chord	12/8	2	1	1/8		1/8	1	44														0
3	3	25/2	25/2	0.5	1/8	1/8	Chord	12/8	2	1	1/8		1/8	1	45														0
3	3	13	13	0.5	1/4	1/4	Chord	12/8	2	1	1/8		1/8	1	46														0
3	3	27/2	27/2	0.5	3/8	3/8	Chord	12/8	2	1	1/8		1/8	1	47														0
3	3	14	14	0.5	1/2	1/2	Chord	12/8	2	1	1/8		1/8	1	48														0
3	3	29/2	29/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8		1/8	1	49														0
3	3	15	15	0.5	3/4	3/4	Chord	12/8	2	1	1/8		1/8	1	50			articAccentBelow											0
3	3	12	12	0.25	0	0	Chord	12/8	3	1	1/16		1/16	1	51										2				
3	3	49/4	49/4	0.25	1/16	1/16	Chord	12/8	3	1	1/16		1/16	1	52										2				
3	3	25/2	25/2	0.25	1/8	1/8	Chord	12/8	3	1	1/16		1/16	1	53										2				
3	3	51/4	51/4	0.25	3/16	3/16	Chord	12/8	3	1	1/16		1/16	1	54										2				
3	3	13	13	0.25	1/4	1/4	Chord	12/8	3	1	1/16		1/16	1	55										2				
3	3	53/4	53/4	0.25	5/16	5/16	Chord	12/8	3	1	1/16		1/16	1	56										2				
3	3	27/2	27/2	0.25	3/8	3/8	Chord	12/8	3	1	1/16		1/16	1	57										2				
3	3	55/4	55/4	0.25	7/16	7/16	Chord	12/8	3	1	1/16		1/16	1	58										2				
3	3	14	14	0.25	1/2	1/2	Chord	12/8	3	1	1/16		1/16	1	59										2				
3	3	57/4	57/4	0.25	9/16	9/16	Chord	12/8	3	1	1/16		1/16	1	60										2				
3	3	29/2	29/2	0.25	5/8	5/8	Chord	12/8	3	1	1/16		1/16	1	61										2				
3	3	59/4	59/4	0.25	11/16	11/16	Chord	12/8	3	1	1/16		1/16	1	62														
3	3	15	15	0.0	3/4	3/4	Chord	12/8	3	1	0	grace32	1/32	1	63														
3	3	15	15	0.0	3/4	3/4	Chord	12/8	3	1	0	grace32	1/32	1	64														
3	3	15	15	0.5	3/4	3/4	Chord	12/8	3	1	1/8		1/8	1	65														
4	4	18	18	0.0	0	0	Dynamic	12/8	2	1	0						p												
4	4	18	18	0.0	0	0	Spanner	12/8	2	1	0																		
4	4	18	18	0.5	0	0	Chord	12/8	2	1	1/8		1/8	1	66														
4	4	37/2	37/2	0.5	1/8	1/8	Chord	12/8	2	1	1/8		1/8	1	67														
4	4	19	19	0.5	1/4	1/4	Chord	12/8	2	1	1/8		1/8	1	68														
4	4	39/2	39/2	0.5	3/8	3/8	Chord	12/8	2	1	1/8		1/8	1	69														
4	4	20	20	0.5	1/2	1/2	Chord	12/8	2	1	1/8		1/8	1	70														
4	4	41/2	41/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8		1/8	1	71														
4	4	21	21	0.5	3/4	3/4	Chord	12/8	2	1	1/8		1/8	1	72			articAccentBelow											
4	4	18	18	0.25	0	0	Chord	12/8	3	1	1/16		1/16	1	73										3				
4	4	73/4	73/4	0.25	1/16	1/16	Chord	12/8	3	1	1/16		1/16	1	74										3				
4	4	37/2	37/2	0.25	1/8	1/8	Chord	12/8	3	1	1/16		1/16	1	75										3				
4	4	75/4	75/4	0.25	3/16	3/16	Chord	12/8	3	1	1/16		1/16	1	76										3				
4	4	19	19	0.25	1/4	1/4	Chord	12/8	3	1	1/16		1/16	1	77										3				
4	4	77/4	77/4	0.25	5/16	5/16	Chord	12/8	3	1	1/16		1/16	1	78										3				
4	4	39/2	39/2	0.25	3/8	3/8	Chord	12/8	3	1	1/16		1/16	1	79										3				
4	4	79/4	79/4	0.25	7/16	7/16	Chord	12/8	3	1	1/16		1/16	1	80										3				
4	4	20	20	0.25	1/2	1/2	Chord	12/8	3	1	1/16		1/16	1	81										3				
4	4	81/4	81/4	0.25	9/16	9/16	Chord	12/8	3	1	1/16		1/16	1	82										3				
4	4	41/2	41/2	0.25	5/8	5/8	Chord	12/8	3	1	1/16		1/16	1	83										3				
4	4	83/4	83/4	0.25	11/16	11/16	Chord	12/8	3	1	1/16		1/16	1	84														
4	4	21	21	0.0	3/4	3/4	Chord	12/8	3	1	0	grace32	1/32	1	85														
4	4	21	21	0.0	3/4	3/4	Chord	12/8	3	1	0	grace32	1/32	1	86														
4	4	21	21	0.5	3/4	3/4	Chord	12/8	3	1	1/8		1/8	1	87														
5	5	24	24	0.5	0	0	Chord	12/8	2	1	1/8		1/8	1	88														
5	5	49/2	49/2	0.5	1/8	1/8	Chord	12/8	2	1	1/8		1/8	1	89														
5	5	25	25	0.5	1/4	1/4	Chord	12/8	2	1	1/8		1/8	1	90														
5	5	51/2	51/2	0.5	3/8	3/8	Chord	12/8	2	1	1/8		1/8	1	91														
5	5	26	26	0.5	1/2	1/2	Chord	12/8	2	1	1/8		1/8	1	92														
5	5	53/2	53/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8		1/8	1	93														
5	5	27	27	0.5	3/4	3/4	Chord	12/8	2	1	1/8		1/8	1	94														
5	5	24	24	0.0	0	0	Dynamic	12/8	3	1	0						pp												
5	5	24	24	0.25	0	0	Chord	12/8	3	1	1/16		1/16	1	95										4				
5	5	97/4	97/4	0.25	1/16	1/16	Chord	12/8	3	1	1/16		1/16	1	96										4				
5	5	49/2	49/2	0.25	1/8	1/8	Chord	12/8	3	1	1/16		1/16	1	97										4				
5	5	99/4	99/4	0.25	3/16	3/16	Chord	12/8	3	1	1/16		1/16	1	98										4				
5	5	25	25	0.25	1/4	1/4	Chord	12/8	3	1	1/16		1/16	1	99										4				
5	5	101/4	101/4	0.25	5/16	5/16	Chord	12/8	3	1	1/16		1/16	1	100										4				
5	5	51/2	51/2	0.25	3/8	3/8	Chord	12/8	3	1	1/16		1/16	1	101										4				
5	5	103/4	103/4	0.25	7/16	7/16	Chord	12/8	3	1	1/16		1/16	1	102										4				
5	5	26	26	0.25	1/2	1/2	Chord	12/8	3	1	1/16		1/16	1	103										4				
5	5	105/4	105/4	0.25	9/16	9/16	Chord	12/8	3	1	1/16		1/16	1	104										4				
5	5	53/2	53/2	0.25	5/8	5/8	Chord	12/8	3	1	1/16		1/16	1	105										4				
5	5	107/4	107/4	0.25	11/16	11/16	Chord	12/8	3	1	1/16		1/16	1	106														
5	5	27	27	0.5	3/4	3/4	Chord	12/8	3	1	1/8		1/8	1	107														
6	6	63/2	63/2	0.0	3/8	3/8	Dynamic	12/8	1	1	0						p												
6	6	65/2	65/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8		1/8	1	108	Es													
6	6	33	33	1.5	3/4	3/4	Chord	12/8	1	1	3/8		1/4	3/2	109	bel-													
6	6	69/2	69/2	1.0	9/8	9/8	Chord	12/8	1	1	1/4		1/4	1	110	-len													
6	6	71/2	71/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8		1/8	1	111	die													
6	6	30	30	0.5	0	0	Chord	12/8	2	1	1/8		1/8	1	112														
6	6	61/2	61/2	0.5	1/8	1/8	Chord	12/8	2	1	1/8		1/8	1	113														
6	6	31	31	0.5	1/4	1/4	Chord	12/8	2	1	1/8		1/8	1	114														
6	6	63/2	63/2	0.5	3/8	3/8	Chord	12/8	2	1	1/8		1/8	1	115														
6	6	32	32	0.5	1/2	1/2	Chord	12/8	2	1	1/8		1/8	1	116														
6	6	65/2	65/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8		1/8	1	117														
6	6	33	33	0.5	3/4	3/4	Chord	12/8	2	1	1/8		1/8	1	118														
6	6	30	30	0.25	0	0	Chord	12/8	3	1	1/16		1/16	1	119										5				
6	6	121/4	121/4	0.25	1/16	1/16	Chord	12/8	3	1	1/16		1/16	1	120										5				
6	6	61/2	61/2	0.25	1/8	1/8	Chord	12/8	3	1	1/16		1/16	1	121										5				
6	6	123/4	123/4	0.25	3/16	3/16	Chord	12/8	3	1	1/16		1/16	1	122										5				
6	6	31	31	0.25	1/4	1/4	Chord	12/8	3	1	1/16		1/16	1	123										5				
6	6	125/4	125/4	0.25	5/16	5/16	Chord	12/8	3	1	1/16		1/16	1	124										5				
6	6	63/2	63/2	0.25	3/8	3/8	Chord	12/8	3	1	1/16		1/16	1	125										5				
6	6	127/4	127/4	0.25	7/16	7/16	Chord	12/8	3	1	1/16		1/16	1	126										5				
6	6	32	32	0.25	1/2	1/2	Chord	12/8	3	1	1/16		1/16	1	127										5				
6	6	129/4	129/4	0.25	9/16	9/16	Chord	12/8	3	1	1/16		1/16	1	128										5				
6	6	65/2	65/2	0.25	5/8	5/8	Chord	12/8	3	1	1/16		1/16	1	129										5				
6	6	131/4	131/4	0.25	11/16	11/16	Chord	12/8	3	1	1/16		1/16	1	130														
6	6	33	33	0.5	3/4	3/4	Chord	12/8	3	1	1/8		1/8	1	131														
7	7	36	36	1.5	0	0	Chord	12/8	1	1	3/8		1/4	3/2	132	Hun-													
7	7	75/2	75/2	1.0	3/8	3/8	Chord	12/8	1	1	1/4		1/4	1	133	-de,													
7	7	77/2	77/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8		1/8	1	134	es													
7	7	39	39	1.5	3/4	3/4	Chord	12/8	1	1	3/8		1/4	3/2	135	ras-													
7	7	81/2	81/2	1.0	9/8	9/8	Chord	12/8	1	1	1/4		1/4	1	136	-seln													
7	7	83/2	83/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8		1/8	1	137	die													
7	7	36	36	0.5	0	0	Chord	12/8	2	1	1/8		1/8	1	138														
7	7	73/2	73/2	0.5	1/8	1/8	Chord	12/8	2	1	1/8		1/8	1	139														
7	7	37	37	0.5	1/4	1/4	Chord	12/8	2	1	1/8		1/8	1	140														
7	7	75/2	75/2	0.5	3/8	3/8	Chord	12/8	2	1	1/8		1/8	1	141														
7	7	38	38	0.5	1/2	1/2	Chord	12/8	2	1	1/8		1/8	1	142														
7	7	77/2	77/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8		1/8	1	143														
7	7	39	39	0.5	3/4	3/4	Chord	12/8	2	1	1/8		1/8	1	144														
7	7	36	36	0.25	0	0	Chord	12/8	3	1	1/16		1/16	1	145										6				
7	7	145/4	145/4	0.25	1/16	1/16	Chord	12/8	3	1	1/16		1/16	1	146										6				
7	7	73/2	73/2	0.25	1/8	1/8	Chord	12/8	3	1	1/16		1/16	1	147										6				
7	7	147/4	147/4	0.25	3/16	3/16	Chord	12/8	3	1	1/16		1/16	1	148										6				
7	7	37	37	0.25	1/4	1/4	Chord	12/8	3	1	1/16		1/16	1	149										6				
7	7	149/4	149/4	0.25	5/16	5/16	Chord	12/8	3	1	1/16		1/16	1	150										6				
7	7	75/2	75/2	0.25	3/8	3/8	Chord	12/8	3	1	1/16		1/16	1	151										6				
7	7	151/4	151/4	0.25	7/16	7/16	Chord	12/8	3	1	1/16		1/16	1	152										6				
7	7	38	38	0.25	1/2	1/2	Chord	12/8	3	1	1/16		1/16	1	153										6				
7	7	153/4	153/4	0.25	9/16	9/16	Chord	12/8	3	1	1/16		1/16	1	154										6				
7	7	77/2	77/2	0.25	5/8	5/8	Chord	12/8	3	1	1/16		1/16	1	155										6				
7	7	155/4	155/4	0.25	11/16	11/16	Chord	12/8	3	1	1/16		1/16	1	156														
7	7	39	39	0.0	3/4	3/4	Chord	12/8	3	1	0	grace32	1/32	1	157														
7	7	39	39	0.0	3/4	3/4	Chord	12/8	3	1	0	grace32	1/32	1	158														
7	7	39	39	0.5	3/4	3/4	Chord	12/8	3	1	1/8		1/8	1	159														
8	8	42	42	1.5	0	0	Chord	12/8	1	1	3/8		1/4	3/2	160	ket-													
8	8	87/2	87/2	1.0	3/8	3/8	Chord	12/8	1	1	1/4		1/4	1	161	-ten													
8	8	89/2	89/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8		1/8	1	162	es													
8	8	45	45	1.5	3/4	3/4	Chord	12/8	1	1	3/8		1/4	3/2	163	schla-													
8	8	93/2	93/2	1.0	9/8	9/8	Chord	12/8	1	1	1/4		1/4	1	164	-fen													
8	8	95/2	95/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8		1/8	1	165	die													
8	8	42	42	0.5	0	0	Chord	12/8	2	1	1/8		1/8	1	166														
8	8	85/2	85/2	0.5	1/8	1/8	Chord	12/8	2	1	1/8		1/8	1	167														
8	8	43	43	0.5	1/4	1/4	Chord	12/8	2	1	1/8		1/8	1	168														
8	8	87/2	87/2	0.5	3/8	3/8	Chord	12/8	2	1	1/8		1/8	1	169														
8	8	44	44	0.5	1/2	1/2	Chord	12/8	2	1	1/8		1/8	1	170														
8	8	89/2	89/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8		1/8	1	171														
8	8	45	45	0.5	3/4	3/4	Chord	12/8	2	1	1/8		1/8	1	172														
8	8	42	42	0.25	0	0	Chord	12/8	3	1	1/16		1/16	1	173										7				
8	8	169/4	169/4	0.25	1/16	1/16	Chord	12/8	3	1	1/16		1/16	1	174										7				
8	8	85/2	85/2	0.25	1/8	1/8	Chord	12/8	3	1	1/16		1/16	1	175										7				
8	8	171/4	171/4	0.25	3/16	3/16	Chord	12/8	3	1	1/16		1/16	1	176										7				
8	8	43	43	0.25	1/4	1/4	Chord	12/8	3	1	1/16		1/16	1	177										7				
8	8	173/4	173/4	0.25	5/16	5/16	Chord	12/8	3	1	1/16		1/16	1	178										7				
8	8	87/2	87/2	0.25	3/8	3/8	Chord	12/8	3	1	1/16		1/16	1	179										7				
8	8	175/4	175/4	0.25	7/16	7/16	Chord	12/8	3	1	1/16		1/16	1	180										7				
8	8	44	44	0.25	1/2	1/2	Chord	12/8	3	1	1/16		1/16	1	181										7				
8	8	177/4	177/4	0.25	9/16	9/16	Chord	12/8	3	1	1/16		1/16	1	182										7				
8	8	89/2	89/2	0.25	5/8	5/8	Chord	12/8	3	1	1/16		1/16	1	183										7				
8	8	179/4	179/4	0.25	11/16	11/16	Chord	12/8	3	1	1/16		1/16	1	184														
8	8	45	45	0.0	3/4	3/4	Chord	12/8	3	1	0	grace32	1/32	1	185														
8	8	45	45	0.0	3/4	3/4	Chord	12/8	3	1	0	grace32	1/32	1	186														
8	8	45	45	0.5	3/4	3/4	Chord	12/8	3	1	1/8		1/8	1	187														
9	9	48	48	1.5	0	0	Chord	12/8	1	1	3/8		1/4	3/2	188	Men-													
9	9	99/2	99/2	1.0	3/8	3/8	Chord	12/8	1	1	1/4		1/4	1	189	-schen													
9	9	101/2	101/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8		1/8	1	190	in													
9	9	51	51	1.5	3/4	3/4	Chord	12/8	1	1	3/8		1/4	3/2	191	ihr-									8				
9	9	105/2	105/2	1.0	9/8	9/8	Chord	12/8	1	1	1/4		1/4	1	192														
9	9	107/2	107/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8		1/8	1	193	-ren													
9	9	48	48	0.0	0	0	Spanner	12/8	2	1	0																		1
9	9	48	48	0.5	0	0	Chord	12/8	2	1	1/8		1/8	1	194														1
9	9	97/2	97/2	0.5	1/8	1/8	Chord	12/8	2	1	1/8		1/8	1	195														1
9	9	49	49	0.5	1/4	1/4	Chord	12/8	2	1	1/8		1/8	1	196														1
9	9	99/2	99/2	0.5	3/8	3/8	Chord	12/8	2	1	1/8		1/8	1	197														1
9	9	50	50	0.5	1/2	1/2	Chord	12/8	2	1	1/8		1/8	1	198														1
9	9	101/2	101/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8		1/8	1	199														1
9	9	51	51	0.5	3/4	3/4	Chord	12/8	2	1	1/8		1/8	1	200														1
9	9	48	48	0.25	0	0	Chord	12/8	3	1	1/16		1/16	1	201										9				
9	9	193/4	193/4	0.25	1/16	1/16	Chord	12/8	3	1	1/16		1/16	1	202										9				
9	9	97/2	97/2	0.25	1/8	1/8	Chord	12/8	3	1	1/16		1/16	1	203										9				
9	9	195/4	195/4	0.25	3/16	3/16	Chord	12/8	3	1	1/16		1/16	1	204										9				
9	9	49	49	0.25	1/4	1/4	Chord	12/8	3	1	1/16		1/16	1	205										9				
9	9	197/4	197/4	0.25	5/16	5/16	Chord	12/8	3	1	1/16		1/16	1	206										9				
9	9	99/2	99/2	0.25	3/8	3/8	Chord	12/8	3	1	1/16		1/16	1	207										9				
9	9	199/4	199/4	0.25	7/16	7/16	Chord	12/8	3	1	1/16		1/16	1	208										9				
9	9	50	50	0.25	1/2	1/2	Chord	12/8	3	1	1/16		1/16	1	209										9				
9	9	201/4	201/4	0.25	9/16	9/16	Chord	12/8	3	1	1/16		1/16	1	210										9				
9	9	101/2	101/2	0.25	5/8	5/8	Chord	12/8	3	1	1/16		1/16	1	211										9				
9	9	203/4	203/4	0.25	11/16	11/16	Chord	12/8	3	1	1/16		1/16	1	212														
9	9	51	51	0.0	3/4	3/4	Chord	12/8	3	1	0	grace32	1/32	1	213														
9	9	51	51	0.0	3/4	3/4	Chord	12/8	3	1	0	grace32	1/32	1	214														
9	9	51	51	0.5	3/4	3/4	Chord	12/8	3	1	1/8		1/8	1	215														
10	10	54	54	1.5	0	0	Chord	12/8	1	1	3/8		1/4	3/2	216	Bet-													
10	10	111/2	111/2	1.5	3/8	3/8	Chord	12/8	1	1	3/8		1/4	3/2	217	-ten													
10	10	54	54	0.0	0	0	Spanner	12/8	2	1	0																		
10	10	54	54	0.5	0	0	Chord	12/8	2	1	1/8		1/8	1	218														
10	10	109/2	109/2	0.5	1/8	1/8	Chord	12/8	2	1	1/8		1/8	1	219														
10	10	55	55	0.5	1/4	1/4	Chord	12/8	2	1	1/8		1/8	1	220														
10	10	111/2	111/2	0.5	3/8	3/8	Chord	12/8	2	1	1/8		1/8	1	221														
10	10	56	56	0.5	1/2	1/2	Chord	12/8	2	1	1/8		1/8	1	222														
10	10	113/2	113/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8		1/8	1	223														
10	10	57	57	0.5	3/4	3/4	Chord	12/8	2	1	1/8		1/8	1	224														
10	10	54	54	0.25	0	0	Chord	12/8	3	1	1/16		1/16	1	225										10				
10	10	217/4	217/4	0.25	1/16	1/16	Chord	12/8	3	1	1/16		1/16	1	226										10				
10	10	109/2	109/2	0.25	1/8	1/8	Chord	12/8	3	1	1/16		1/16	1	227										10				
10	10	219/4	219/4	0.25	3/16	3/16	Chord	12/8	3	1	1/16		1/16	1	228										10				
10	10	55	55	0.25	1/4	1/4	Chord	12/8	3	1	1/16		1/16	1	229										10				
10	10	221/4	221/4	0.25	5/16	5/16	Chord	12/8	3	1	1/16		1/16	1	230										10				
10	10	111/2	111/2	0.25	3/8	3/8	Chord	12/8	3	1	1/16		1/16	1	231										10				
10	10	223/4	223/4	0.25	7/16	7/16	Chord	12/8	3	1	1/16		1/16	1	232										10				
10	10	56	56	0.25	1/2	1/2	Chord	12/8	3	1	1/16		1/16	1	233										10				
10	10	225/4	225/4	0.25	9/16	9/16	Chord	12/8	3	1	1/16		1/16	1	234										10				
10	10	113/2	113/2	0.25	5/8	5/8	Chord	12/8	3	1	1/16		1/16	1	235										10				
10	10	227/4	227/4	0.25	11/16	11/16	Chord	12/8	3	1	1/16		1/16	1	236														
10	10	57	57	0.0	3/4	3/4	Chord	12/8	3	1	0	grace32	1/32	1	237														
10	10	57	57	0.0	3/4	3/4	Chord	12/8	3	1	0	grace32	1/32	1	238														
10	10	57	57	0.5	3/4	3/4	Chord	12/8	3	1	1/8		1/8	1	239														
11	11	63	63	1.5	3/4	3/4	Chord	12/8	1	1	3/8		1/4	3/2	240	traü-													
11	11	129/2	129/2	1.0	9/8	9/8	Chord	12/8	1	1	1/4		1/4	1	241	-men													
11	11	131/2	131/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8		1/8	1	242	sich													
11	11	60	60	0.5	0	0	Chord	12/8	2	1	1/8		1/8	1	243														
11	11	121/2	121/2	0.5	1/8	1/8	Chord	12/8	2	1	1/8		1/8	1	244														
11	11	61	61	0.5	1/4	1/4	Chord	12/8	2	1	1/8		1/8	1	245														
11	11	123/2	123/2	0.5	3/8	3/8	Chord	12/8	2	1	1/8		1/8	1	246														
11	11	62	62	0.5	1/2	1/2	Chord	12/8	2	1	1/8		1/8	1	247														
11	11	125/2	125/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8		1/8	1	248														
11	11	63	63	0.5	3/4	3/4	Chord	12/8	2	1	1/8		1/8	1	249														
11	11	60	60	0.25	0	0	Chord	12/8	3	1	1/16		1/16	1	250										11				
11	11	241/4	241/4	0.25	1/16	1/16	Chord	12/8	3	1	1/16		1/16	1	251										11				
11	11	121/2	121/2	0.25	1/8	1/8	Chord	12/8	3	1	1/16		1/16	1	252										11				
11	11	243/4	243/4	0.25	3/16	3/16	Chord	12/8	3	1	1/16		1/16	1	253										11				
11	11	61	61	0.25	1/4	1/4	Chord	12/8	3	1	1/16		1/16	1	254										11				
11	11	245/4	245/4	0.25	5/16	5/16	Chord	12/8	3	1	1/16		1/16	1	255										11				
11	11	123/2	123/2	0.25	3/8	3/8	Chord	12/8	3	1	1/16		1/16	1	256										11				
11	11	247/4	247/4	0.25	7/16	7/16	Chord	12/8	3	1	1/16		1/16	1	257										11				
11	11	62	62	0.25	1/2	1/2	Chord	12/8	3	1	1/16		1/16	1	258										11				
11	11	249/4	249/4	0.25	9/16	9/16	Chord	12/8	3	1	1/16		1/16	1	259										11				
11	11	125/2	125/2	0.25	5/8	5/8	Chord	12/8	3	1	1/16		1/16	1	260										11				
11	11	251/4	251/4	0.25	11/16	11/16	Chord	12/8	3	1	1/16		1/16	1	261														
11	11	63	63	0.0	3/4	3/4	Chord	12/8	3	1	0	grace32	1/32	1	262														
11	11	63	63	0.0	3/4	3/4	Chord	12/8	3	1	0	grace32	1/32	1	263														
11	11	63	63	0.5	3/4	3/4	Chord	12/8	3	1	1/8		1/8	1	264														
12	12	66	66	1.5	0	0	Chord	12/8	1	1	3/8		1/4	3/2	265	Man-													
12	12	135/2	135/2	1.5	3/8	3/8	Chord	12/8	1	1	3/8		1/4	3/2	266	-ches,													
12	12	69	69	1.5	3/4	3/4	Chord	12/8	1	1	3/8		1/4	3/2	267	was													
12	12	141/2	141/2	1.0	9/8	9/8	Chord	12/8	1	1	1/4		1/4	1	268	sie													
12	12	143/2	143/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8		1/8	1	269	nicht													
12	12	66	66	0.0	0	0	Dynamic	12/8	2	1	0						p												
12	12	66	66	0.25	0	0	Chord	12/8	2	1	1/16		1/16	1	270										12				
12	12	265/4	265/4	0.25	1/16	1/16	Chord	12/8	2	1	1/16		1/16	1	271										12				
12	12	133/2	133/2	0.25	1/8	1/8	Chord	12/8	2	1	1/16		1/16	1	272										12				
