mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	crescendo_line
4	4	13	13	0.0	1/4	1/4	Spanner	4/4	2	1	0														8			
4	4	13	13	0.0	1/4	1/4	Spanner	4/4	2	1	0														8	0		
4	4	13	13	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	35										8	0		
4	4	27/2	27/2	0.0	3/8	3/8	Spanner	4/4	2	1	0																	
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	36													
4	4	14	14	0.0	1/2	1/2	Dynamic	4/4	2	1	0						p											
4	4	14	14	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	37										9			
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	38													
4	4	12	12	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	39										10			
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	40										10			
4	4	13	13	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	41										10			
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	42													
4	4	14	14	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	43													
4	4	15	15	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	44													
4	4	12	12	2.0	0	0	Chord	4/4	3	2	1/2		1/2	1	45													
4	4	12	12	1.0	0	0	Chord	4/4	3	3	1/4		1/4	1	46													
5	5	19	19	0.0	3/4	3/4	Dynamic	4/4	1	1	0						p											
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	47	Auf												
5	5	16	16	0.75	0	0	Chord	4/4	2	1	3/16		1/8	3/2	48			ornamentTurn							11			
5	5	67/4	67/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	49										11			
5	5	17	17	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	50													
5	5	18	18	0.0	1/2	1/2	Spanner	4/4	2	1	0															1		
5	5	18	18	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	51											1		
5	5	16	16	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	52											1		
5	5	18	18	2.0	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	53											1		
5	5	16	16	0.0	0	0	Dynamic	4/4	3	1	0						pp											
5	5	16	16	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	54										12			
5	5	17	17	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	55													
5	5	18	18	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	56													
6	6	20	20	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	57	ei-												
6	6	83/4	83/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	58	-nen												
6	6	21	21	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	59	To-												
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	60	-dten												
6	6	22	22	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	61	-ac-												
6	6	23	23	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	62	-ker												
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	63	hat												
6	6	20	20	0.0	0	0	Spanner	4/4	2	1	0																	
6	6	20	20	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	64										13			
6	6	21	21	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	65										13			
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	66													
6	6	22	22	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	67										14			
6	6	23	23	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	68										14			
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	69													
6	6	20	20	1.5	0	0	Chord	4/4	3	1	3/8		1/4	3/2	70													
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	71													
6	6	22	22	1.5	1/2	1/2	Chord	4/4	3	1	3/8		1/4	3/2	72													
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	73													
7	7	24	24	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	74	mich												
7	7	99/4	99/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	75	mein												
7	7	25	25	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	76	Weg												
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	77	ge-												
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	78	-bracht.												
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	79	All-												
7	7	24	24	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	80										15			
7	7	25	25	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	81										15			
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	82													
7	7	26	26	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	83										16			
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	84										16			
7	7	27	27	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	85										16			
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	86													
7	7	24	24	1.5	0	0	Chord	4/4	3	1	3/8		1/4	3/2	87													
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	88													
7	7	26	26	1.5	1/2	1/2	Chord	4/4	3	1	3/8		1/4	3/2	89													
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	90													
8	8	28	28	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	91	-hier												
8	8	115/4	115/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	92	will												
8	8	29	29	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	93	ich												
8	8	59/2	59/2	0.0	3/8	3/8	Chord	4/4	1	1	0	grace16	1/16	1	94													
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	95	ein-												
8	8	30	30	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	96	-keh-												
8	8	31	31	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	97	-ren,												
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	98	hab												
8	8	28	28	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	99													
8	8	29	29	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	100			articStaccatoBelow							17			
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	101			articStaccatoBelow										
8	8	30	30	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	102										18			
8	8	31	31	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	103													
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	104													
8	8	28	28	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	105													
8	8	29	29	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	106			articStaccatoBelow							19			
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	107			articStaccatoBelow										
8	8	30	30	1.5	1/2	1/2	Chord	4/4	3	1	3/8		1/4	3/2	108													
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	109													
9	9	32	32	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	110	ich												
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	111	bei												
9	9	33	33	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	112	mir												
9	9	135/4	135/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	113	ge-												
9	9	34	34	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	114	-dacht.												
9	9	32	32	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	115										20			
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	116										20			
9	9	33	33	0.75	1/4	1/4	Chord	4/4	2	1	3/16		1/8	3/2	117										20			
9	9	135/4	135/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	118													
9	9	34	34	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	119													
9	9	35	35	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	120										21			
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	121													
9	9	32	32	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	122										22			
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	123										22			
9	9	33	33	0.75	1/4	1/4	Chord	4/4	3	1	3/16		1/8	3/2	124										22			
9	9	135/4	135/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16		1/16	1	125													
9	9	34	34	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	126													
10	10	36	36	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	127			articAccentBelow							23			
10	10	37	37	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	128										23			
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	129													
10	10	38	38	0.0	1/2	1/2	Spanner	4/4	2	1	0																	0
10	10	38	38	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	130			articAccentBelow							24			0
10	10	39	39	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	131										24			0
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	132													0
10	10	36	36	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	133													
10	10	37	37	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	134													
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	135													
10	10	38	38	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	136													
10	10	39	39	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	137													
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	138													
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	139	Ihr												
11	11	40	40	0.0	0	0	Spanner	4/4	2	1	0																	
11	11	40	40	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	140										25			
11	11	81/2	81/2	0.0	1/8	1/8	Spanner	4/4	2	1	0														25		1	
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	141										25		1	
11	11	41	41	0.0	1/4	1/4	Spanner	4/4	2	1	0														25			
11	11	41	41	0.0	1/4	1/4	Spanner	4/4	2	1	0														25	2		
11	11	41	41	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	142										25	2		
11	11	83/2	83/2	0.0	3/8	3/8	Spanner	4/4	2	1	0																	
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	143													
11	11	42	42	0.0	1/2	1/2	Dynamic	4/4	2	1	0						p											
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	144										26			
11	11	43	43	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	145													
11	11	40	40	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	146										27			
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	147										27			
11	11	41	41	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	148										27			
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	149													
11	11	42	42	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	150										28			
11	11	43	43	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	151													
11	11	40	40	2.0	0	0	Chord	4/4	3	2	1/2		1/2	1	152													
11	11	40	40	1.0	0	0	Chord	4/4	3	3	1/4		1/4	1	153													
12	12	44	44	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	154	grü-												
12	12	179/4	179/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	155	-nen												
12	12	45	45	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	156	To-												
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	157	-dten-												
12	12	46	46	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	158	-krän-												
12	12	47	47	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	159	-ze,												
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	160	könnt												
12	12	44	44	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	161										29			
12	12	45	45	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	162										29			
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	163													
12	12	46	46	1.5	1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	164										30			
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	165													
12	12	44	44	0.0	0	0	Dynamic	4/4	2	2	0						pp											
12	12	44	44	1.5	0	0	Chord	4/4	2	2	3/8		1/4	3/2	166													
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	167													
12	12	46	46	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	168										31			
12	12	47	47	0.5	3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	169													
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	170													
12	12	44	44	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	171										32			
12	12	45	45	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	172										32			
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	173													
12	12	46	46	1.5	1/2	1/2	Chord	4/4	3	1	3/8		1/4	3/2	174													
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	175													
12	12	44	44	1.5	0	0	Chord	4/4	3	2	3/8		1/4	3/2	176													
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8		1/8	1	177													
12	12	46	46	1.5	1/2	1/2	Chord	4/4	3	2	3/8		1/4	3/2	178													
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8		1/8	1	179													
13	13	48	48	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	180	wohl												
13	13	195/4	195/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	181	die												
13	13	49	49	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	182	Zei-												
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	183	-chen												
13	13	50	50	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	184	sein,												
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	185	die												
13	13	48	48	1.5	0	0	Chord	4/4	2	1	3/8		1/4	3/2	186													
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	187													
13	13	50	50	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	188										33			
13	13	101/2	101/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	189										33			
13	13	51	51	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	190										33			
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	191													
13	13	48	48	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	192										34			
13	13	49	49	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	193													
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	194													
13	13	50	50	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	195													
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	196													
13	13	48	48	1.5	0	0	Chord	4/4	2	3	3/8		1/4	3/2	197													
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	2	3	1/8		1/8	1	198													
13	13	48	48	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	199										35			
13	13	49	49	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	200										35			
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	201													
13	13	50	50	1.5	1/2	1/2	Chord	4/4	3	1	3/8		1/4	3/2	202													
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	203													
13	13	48	48	1.5	0	0	Chord	4/4	3	2	3/8		1/4	3/2	204													
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8		1/8	1	205													
14	14	52	52	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	206	mü-												
14	14	211/4	211/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	207	-de												
14	14	53	53	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	208	Wand-												
14	14	107/2	107/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	209	-rer									36			
14	14	215/4	215/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	210													
14	14	54	54	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	211	la-												
14	14	55	55	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	212	-den												
14	14	111/2	111/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	213	ins												
14	14	52	52	1.5	0	0	Chord	4/4	2	1	3/8		1/4	3/2	214										37			
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	215													
14	14	54	54	1.5	1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	216													
14	14	111/2	111/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	217													
14	14	52	52	1.5	0	0	Chord	4/4	2	2	3/8		1/4	3/2	218													
14	14	54	54	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	219										38			
14	14	55	55	0.5	3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	220													
14	14	52	52	1.5	0	0	Chord	4/4	2	3	3/8		1/4	3/2	221													
14	14	54	54	1.5	1/2	1/2	Chord	4/4	2	3	3/8		1/4	3/2	222													
14	14	52	52	1.5	0	0	Chord	4/4	3	1	3/8		1/4	3/2	223													
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	224													
14	14	54	54	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	225										39			
14	14	55	55	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	226													
14	14	111/2	111/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	227													
14	14	52	52	1.5	0	0	Chord	4/4	3	2	3/8		1/4	3/2	228													
14	14	54	54	1.5	1/2	1/2	Chord	4/4	3	2	3/8		1/4	3/2	229													
15	15	56	56	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	230	küh-												
15	15	113/2	113/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	231	-le												
15	15	57	57	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	232	Wirts-												
15	15	231/4	231/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	233	-haus												
15	15	58	58	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	234	ein.												
15	15	56	56	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	235													
15	15	113/2	113/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	236													
15	15	57	57	0.75	1/4	1/4	Chord	4/4	2	1	3/16		1/8	3/2	237													
15	15	231/4	231/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	238													
15	15	58	58	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	239													
15	15	59	59	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	240										40			
15	15	119/2	119/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	241													
15	15	56	56	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	242													
15	15	113/2	113/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	243													
15	15	57	57	0.75	1/4	1/4	Chord	4/4	3	1	3/16		1/8	3/2	244													
15	15	231/4	231/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16		1/16	1	245													
15	15	58	58	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	246													
15	15	59	59	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	247										41			
15	15	119/2	119/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	248													
15	15	56	56	0.5	0	0	Chord	4/4	3	2	1/8		1/8	1	249													
15	15	113/2	113/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8		1/8	1	250													
15	15	57	57	0.75	1/4	1/4	Chord	4/4	3	2	3/16		1/8	3/2	251													
15	15	231/4	231/4	0.25	7/16	7/16	Chord	4/4	3	2	1/16		1/16	1	252													
15	15	58	58	1.0	1/2	1/2	Chord	4/4	3	2	1/4		1/4	1	253													
16	16	60	60	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	254										42			
16	16	61	61	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	255										42			
16	16	123/2	123/2	0.0	3/8	3/8	Spanner	4/4	2	1	0																2	
16	16	123/2	123/2	0.0	3/8	3/8	Spanner	4/4	2	1	0															3	2	
16	16	123/2	123/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	256											3	2	
16	16	62	62	0.0	1/2	1/2	Spanner	4/4	2	1	0																	
16	16	62	62	0.0	1/2	1/2	Spanner	4/4	2	1	0																	
16	16	62	62	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	257										43			
16	16	63	63	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	258										43			
16	16	127/2	127/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	259													
16	16	60	60	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	260													
16	16	61	61	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	261													
16	16	123/2	123/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	262													
16	16	62	62	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	263													
